name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
LKZIM,54,F,Doctor,Single,Bachelor,30000,Urban,Chevrolet,10,4.0,10000,1,4,0,30,Medium
APISN,41,M,Doctor,Single,Master,120000,Suburban,Chevrolet,7,4.0,18000,1,0,3,20,High
HWPWE,59,M,Manager,Divorced,Master,55000,Urban,Toyota,5,1.5,6000,3,0,0,8,Low
GHXLD,64,M,Teacher,Divorced,Master,120000,Urban,Chevrolet,9,3.5,7000,0,2,1,27,Medium
VIWPY,23,F,Retired,Widowed,None,105000,Rural,Mercedes,4,2.5,5000,0,3,3,25,Low
LLZUR,66,M,Engineer,Married,Bachelor,95000,Urban,Tesla,10,4.0,8000,3,2,3,27,Low
MPTNV,63,F,Architect,Divorced,Master,115000,Suburban,Toyota,9,4.0,9000,3,0,0,14,Medium
EDRNG,63,M,Artist,Single,Bachelor,85000,Rural,Nissan,2,3.5,17000,3,2,2,29,Medium
ZSLLN,62,M,Engineer,Single,Master,110000,Urban,Audi,2,3.5,6000,1,0,3,15,Low
GJIPI,66,F,Engineer,Single,Master,140000,Rural,BMW,5,4.0,7000,0,2,2,26,Medium
AHCSY,39,M,Artist,Single,Master,50000,Urban,Toyota,9,4.0,12000,1,4,3,38,High
DKCZO,26,M,Retired,Married,PhD,120000,Urban,Nissan,2,3.0,14000,1,2,1,35,Medium
XHQYS,60,M,Doctor,Widowed,None,20000,Suburban,Toyota,6,3.5,11000,1,1,0,30,Medium
VWRJZ,36,F,Manager,Married,Master,110000,Urban,Audi,2,1.5,16000,0,3,3,22,Low
UDWFH,42,M,Lawyer,Single,Master,120000,Rural,Toyota,13,4.0,13000,0,0,3,38,Low
NQJJJ,55,F,Retired,Widowed,None,55000,Urban,Mercedes,11,2.0,15000,2,4,1,30,Low
VSROH,52,M,Doctor,Married,Master,110000,Rural,Audi,9,2.5,7000,2,4,2,29,Low
XRFRD,22,M,Teacher,Divorced,Bachelor,90000,Urban,Tesla,1,3.0,17000,0,3,1,22,Low
MCKHA,63,M,Engineer,Single,Master,80000,Urban,Ford,12,2.0,16000,0,4,3,6,Medium
YVGVM,67,F,Lawyer,Married,PhD,40000,Suburban,Ford,2,2.0,17000,2,2,3,35,Low
MZUGD,50,F,Doctor,Married,PhD,45000,Suburban,Nissan,2,2.0,17000,1,1,1,35,Low
MACWC,20,M,Lawyer,Married,Master,20000,Urban,Tesla,4,2.0,10000,3,3,3,31,High
ZMLLK,46,F,Engineer,Single,Bachelor,100000,Urban,Ford,13,1.5,14000,1,1,0,30,Low
YVNDK,64,M,Doctor,Married,PhD,20000,Urban,Tesla,5,2.5,13000,2,0,2,35,Medium
JQKTP,27,F,Architect,Divorced,None,30000,Rural,BMW,2,1.5,13000,1,0,3,29,Low
NWQVC,45,M,Engineer,Widowed,None,50000,Rural,Honda,12,2.5,8000,3,4,3,16,Low
AGNKP,60,M,Artist,Married,PhD,115000,Suburban,Nissan,10,3.5,6000,0,0,2,27,High
TYQGG,24,F,Architect,Widowed,Bachelor,85000,Rural,Ford,9,1.5,14000,1,1,3,21,Low
PHGEN,55,M,Artist,Widowed,PhD,20000,Rural,Audi,10,4.0,18000,0,3,0,33,Low
QVIVI,65,F,Engineer,Widowed,Bachelor,105000,Urban,BMW,4,4.0,19000,3,4,0,33,High
TMJLV,35,M,Retired,Married,Bachelor,65000,Urban,Audi,3,2.5,18000,1,4,0,16,Medium
OJRAL,34,F,Artist,Single,Bachelor,75000,Rural,Ford,5,1.5,14000,0,4,2,24,Low
OBXSE,38,M,Manager,Widowed,PhD,75000,Suburban,Ford,8,3.5,5000,2,1,3,27,Low
VFJIH,45,F,Artist,Married,Master,125000,Rural,Mercedes,3,3.0,8000,1,2,2,5,Low
XQZEQ,61,M,Manager,Single,Master,35000,Urban,Nissan,5,4.0,5000,0,4,1,16,Low
ZYGLI,37,F,Doctor,Widowed,Bachelor,45000,Rural,Honda,7,2.0,15000,0,4,0,10,Low
VXYUE,22,M,Manager,Single,Bachelor,100000,Suburban,BMW,4,4.0,7000,1,0,0,32,Medium
XBTKN,34,F,Manager,Divorced,None,95000,Rural,Toyota,12,3.0,10000,0,4,0,30,Low
VRTPG,26,M,Artist,Divorced,Master,20000,Urban,Tesla,11,1.5,14000,0,4,3,1,Low
RETHW,32,F,Retired,Single,Bachelor,35000,Urban,Honda,4,2.5,12000,1,3,3,29,Medium
YNKAS,41,F,Teacher,Married,Bachelor,85000,Urban,Audi,4,2.0,10000,3,1,2,37,Low
YNULW,46,M,Retired,Married,Bachelor,90000,Rural,Chevrolet,11,2.0,16000,3,4,0,11,High
PYGDY,58,M,Doctor,Single,None,110000,Urban,Nissan,10,3.0,8000,2,3,2,2,Low
XGFAX,36,M,Teacher,Single,None,20000,Rural,Toyota,8,2.0,9000,0,0,2,32,High
KNXZR,36,M,Artist,Widowed,Master,65000,Rural,Mercedes,9,3.0,7000,0,3,1,1,Low
WJMPO,37,F,Manager,Married,Master,140000,Suburban,Audi,2,4.0,9000,3,0,3,20,Low
RCSSW,18,F,Student,Married,Bachelor,30000,Urban,Nissan,9,1.5,13000,2,2,2,6,Low
PMYFT,39,M,Architect,Married,Master,140000,Urban,Mercedes,7,2.0,14000,1,0,0,11,Low
TDDNV,20,M,Doctor,Married,Bachelor,55000,Suburban,Audi,2,3.0,15000,1,2,0,34,Medium
ABAOZ,67,M,Manager,Widowed,PhD,85000,Rural,Tesla,11,3.5,13000,3,2,1,24,Medium
ZXLPZ,37,F,Retired,Single,Master,110000,Urban,Chevrolet,3,1.5,7000,3,4,3,15,Low
RUXNN,63,F,Artist,Widowed,Master,45000,Suburban,Nissan,13,1.5,17000,1,0,0,32,High
RCJJK,29,M,Engineer,Widowed,Master,80000,Rural,Chevrolet,5,3.5,18000,3,1,1,5,High
XPPLS,35,F,Engineer,Divorced,Bachelor,60000,Rural,Tesla,12,2.0,14000,2,3,3,30,Low
CWIPP,36,F,Retired,Divorced,Master,50000,Urban,Tesla,14,3.0,19000,2,2,1,4,Medium
WMEIQ,25,M,Retired,Married,Master,55000,Urban,Toyota,1,1.5,9000,0,3,0,22,Low
ZHOIZ,53,M,Lawyer,Married,Master,95000,Rural,Ford,6,2.0,17000,2,4,3,20,Medium
NRTMO,39,F,Manager,Married,Master,50000,Rural,Nissan,7,2.5,8000,2,0,3,4,Low
NHZUI,57,F,Retired,Divorced,Master,50000,Rural,Toyota,4,2.5,15000,3,4,2,16,Low
TDFUY,43,M,Engineer,Widowed,Master,75000,Rural,Honda,10,3.0,9000,1,3,3,12,High
FMWDP,65,M,Lawyer,Divorced,Master,120000,Urban,Tesla,14,4.0,18000,0,3,3,2,Medium
TNTNN,66,F,Doctor,Married,Master,95000,Rural,Chevrolet,9,2.0,14000,1,3,1,9,Low
HFMZV,51,F,Doctor,Single,PhD,20000,Rural,Toyota,7,3.0,10000,3,3,1,28,Low
FRTNO,68,F,Retired,Married,Bachelor,75000,Urban,Honda,3,1.5,12000,2,2,0,17,Low
QSCGF,66,M,Engineer,Widowed,Master,100000,Rural,Toyota,1,2.0,15000,2,2,1,17,Low
TCLIY,27,M,Student,Widowed,PhD,120000,Urban,Toyota,4,3.0,17000,2,3,0,36,Medium
EJPRX,46,M,Architect,Single,Master,40000,Urban,Chevrolet,4,2.0,19000,2,4,0,4,Medium
SQDHP,30,F,Artist,Single,Master,70000,Urban,Audi,5,3.0,11000,1,4,3,11,Low
BRDTG,28,F,Teacher,Single,Bachelor,110000,Suburban,BMW,2,4.0,18000,0,3,2,24,Low
AQBVY,21,M,Retired,Widowed,PhD,125000,Urban,Ford,9,3.0,5000,1,0,1,14,Medium
CVRXD,42,M,Engineer,Married,PhD,65000,Urban,BMW,6,1.5,18000,0,0,2,34,Low
NQZXO,27,M,Retired,Divorced,Bachelor,105000,Suburban,Mercedes,10,2.0,18000,3,1,0,35,Medium
STAXP,48,M,Doctor,Divorced,PhD,55000,Rural,Ford,10,3.0,5000,2,3,0,18,High
HRJZK,39,F,Lawyer,Widowed,None,80000,Rural,Toyota,8,2.0,10000,2,3,0,14,Low
SBBSK,51,F,Architect,Widowed,Bachelor,35000,Rural,BMW,4,3.0,10000,2,4,1,15,High
VMRZM,60,M,Artist,Widowed,None,80000,Suburban,Nissan,1,2.5,5000,3,3,2,21,Low
HWFWO,18,F,Engineer,Married,Bachelor,100000,Rural,Nissan,10,3.0,13000,2,1,1,10,Low
VGJOX,25,M,Retired,Married,Master,95000,Urban,Nissan,4,1.5,13000,1,0,3,4,Low
LGGFN,57,F,Architect,Single,Master,20000,Urban,Honda,5,3.0,6000,3,2,2,39,Low
WSICV,68,M,Lawyer,Divorced,None,100000,Suburban,Audi,1,2.0,12000,2,3,0,35,High
KGSEJ,54,M,Manager,Widowed,Master,25000,Rural,Mercedes,2,1.5,17000,1,1,2,16,Medium
KOLFS,54,M,Artist,Married,PhD,50000,Urban,Mercedes,9,3.0,13000,1,0,1,20,High
GCNYR,25,F,Retired,Single,PhD,70000,Suburban,Toyota,7,2.0,8000,3,1,1,5,Medium
XAMLU,46,F,Retired,Single,Master,115000,Rural,Chevrolet,5,2.5,14000,3,1,0,22,Low
PVUAX,43,F,Artist,Single,Master,25000,Rural,Ford,14,3.0,6000,3,4,3,26,High
PFDGF,38,F,Retired,Married,Master,125000,Suburban,BMW,7,3.5,9000,3,4,1,38,High
KYLMS,19,F,Retired,Widowed,PhD,125000,Suburban,Toyota,9,2.5,19000,0,2,2,24,Medium
JOSRZ,34,F,Architect,Widowed,Bachelor,35000,Urban,Ford,9,2.5,6000,2,2,0,2,Low
KUNRM,51,F,Lawyer,Widowed,Master,25000,Rural,Honda,3,1.5,5000,3,4,0,31,Low
DYAQP,58,F,Manager,Married,PhD,100000,Rural,Nissan,7,2.5,7000,0,1,2,8,Medium
ZCNWQ,39,F,Teacher,Single,Bachelor,50000,Urban,Mercedes,10,3.0,15000,3,4,2,37,Medium
MUBWX,61,M,Doctor,Divorced,Master,130000,Urban,Tesla,8,2.5,11000,2,0,0,33,Low
XYDII,38,M,Retired,Single,Master,30000,Urban,Toyota,11,4.0,6000,0,3,2,16,Medium
FAZRK,36,F,Lawyer,Single,Bachelor,20000,Rural,Mercedes,8,1.5,12000,0,3,0,13,Low
JHAJK,38,F,Student,Single,Master,90000,Rural,BMW,10,2.0,13000,0,0,1,34,High
SPNPY,34,F,Engineer,Widowed,Master,145000,Urban,Audi,13,1.5,12000,0,0,1,35,Low
FLOPG,20,F,Artist,Divorced,Master,105000,Rural,Honda,13,2.5,16000,3,0,0,21,Medium
CDHNH,41,M,Architect,Single,Bachelor,90000,Urban,Honda,8,4.0,17000,0,3,2,25,Low
JNZKK,64,F,Architect,Divorced,Bachelor,50000,Urban,Nissan,9,1.5,18000,2,0,3,10,Medium
XECSP,59,F,Retired,Married,Master,110000,Urban,Audi,2,2.0,8000,0,3,0,1,Medium
RYALG,48,M,Engineer,Married,Bachelor,115000,Urban,Ford,7,3.5,12000,0,2,3,1,Low
DRLAK,57,M,Retired,Single,PhD,100000,Suburban,BMW,9,3.5,18000,3,3,1,26,Low
JUEQB,46,F,Manager,Married,Bachelor,145000,Urban,Ford,2,3.5,10000,2,3,3,34,Low
BBAQK,41,F,Engineer,Married,PhD,115000,Suburban,Audi,4,4.0,16000,0,3,1,39,Low
YXYNI,45,F,Student,Single,Bachelor,115000,Urban,BMW,5,4.0,12000,0,2,0,34,Low
DDHVU,19,M,Retired,Widowed,Master,85000,Urban,Ford,4,2.0,6000,3,1,3,20,Medium
LSGFA,42,M,Engineer,Divorced,Master,115000,Suburban,Nissan,1,2.5,9000,1,4,2,37,Low
XMZCE,42,M,Retired,Single,PhD,90000,Urban,Tesla,12,3.5,10000,0,2,3,32,Low
AWSJB,47,F,Teacher,Divorced,Master,120000,Urban,BMW,3,3.5,9000,0,1,2,1,High
PEUUE,48,F,Manager,Widowed,Master,90000,Urban,Nissan,6,3.0,5000,1,0,3,10,Low
VLPBV,51,M,Manager,Single,None,145000,Urban,Audi,6,2.0,19000,2,3,3,19,Low
KJNNO,31,F,Manager,Single,Bachelor,65000,Urban,Ford,4,1.5,17000,3,4,0,30,Low
FTYBG,52,F,Artist,Widowed,Master,85000,Rural,Mercedes,7,3.0,13000,3,0,2,38,Low
JSNCS,32,F,Teacher,Married,Master,120000,Urban,Audi,5,4.0,13000,2,2,0,16,Low
YLRAD,50,M,Artist,Married,Master,90000,Urban,Mercedes,11,4.0,6000,3,1,1,35,Low
CRXBY,37,M,Artist,Widowed,Bachelor,40000,Rural,Mercedes,7,3.0,9000,1,2,2,17,Low
WBYGN,68,F,Doctor,Divorced,Bachelor,95000,Rural,Mercedes,12,2.0,9000,2,1,1,14,Low
ZCXBJ,57,M,Doctor,Single,Master,50000,Rural,BMW,5,4.0,10000,2,2,0,5,Medium
NMIJN,27,M,Doctor,Divorced,Master,20000,Urban,Tesla,2,4.0,15000,0,2,2,1,Medium
PSOCK,28,M,Engineer,Single,Master,130000,Suburban,BMW,11,3.0,19000,0,2,2,39,Medium
VSCVB,53,M,Teacher,Divorced,Bachelor,140000,Urban,Honda,8,3.0,8000,0,4,1,13,Medium
WCWJS,59,M,Teacher,Single,PhD,115000,Urban,Toyota,13,2.0,17000,0,3,2,11,Low
OYGRI,54,F,Architect,Married,Master,125000,Suburban,BMW,5,2.5,6000,3,2,3,20,Medium
BTSRM,51,F,Teacher,Widowed,Bachelor,55000,Urban,Honda,14,4.0,19000,1,1,0,15,Low
ZSLRY,28,F,Student,Single,Master,95000,Rural,Tesla,1,2.5,17000,3,4,0,2,Low
WNVCQ,54,F,Lawyer,Single,Master,140000,Urban,Chevrolet,2,2.0,10000,2,0,2,10,Medium
LTXIW,45,F,Engineer,Divorced,Master,30000,Rural,Chevrolet,11,2.5,19000,0,2,0,19,Low
VARGN,33,M,Student,Divorced,Master,55000,Rural,Ford,12,1.5,8000,3,3,3,37,Low
ZVNZL,51,F,Manager,Married,Bachelor,45000,Urban,BMW,14,4.0,14000,2,4,3,30,Low
UOUMO,55,M,Lawyer,Widowed,PhD,50000,Rural,Mercedes,1,2.5,19000,2,4,3,17,Low
POSWD,61,M,Engineer,Divorced,PhD,60000,Urban,Mercedes,8,3.5,5000,0,4,1,28,High
PRMEU,48,F,Engineer,Single,Master,140000,Urban,Tesla,8,4.0,10000,1,4,0,34,Low
SSKXD,69,F,Lawyer,Married,Master,65000,Urban,Nissan,3,3.5,8000,2,4,3,39,Low
KVHWF,19,F,Architect,Single,Bachelor,100000,Urban,Chevrolet,10,1.5,17000,0,4,3,28,Medium
FUYQT,25,F,Manager,Divorced,Master,125000,Rural,Mercedes,6,2.5,14000,2,1,3,38,Low
SYAPI,66,M,Teacher,Single,PhD,75000,Suburban,Tesla,4,1.5,5000,0,2,2,34,Low
FXJFQ,59,M,Engineer,Divorced,PhD,105000,Urban,Audi,12,3.0,17000,1,4,2,38,Low
HNGSC,40,M,Doctor,Single,None,80000,Rural,Chevrolet,4,4.0,11000,2,3,0,8,Medium
NYCQZ,53,F,Doctor,Divorced,Master,40000,Urban,Chevrolet,6,4.0,8000,2,4,0,29,Low
MVQOU,62,M,Doctor,Widowed,Master,30000,Urban,Mercedes,12,2.0,5000,1,2,3,12,Low
KFVWW,38,F,Artist,Widowed,Master,30000,Rural,Audi,6,3.0,7000,0,1,2,3,Low
NPIMV,23,M,Artist,Divorced,Master,120000,Rural,Toyota,14,3.5,19000,0,3,3,4,High
SQLLN,69,M,Doctor,Divorced,Bachelor,140000,Urban,Chevrolet,12,1.5,13000,2,2,0,14,Medium
WZBBK,52,M,Lawyer,Married,PhD,75000,Suburban,Ford,2,2.5,19000,2,1,3,1,Low
RKUDA,61,F,Engineer,Divorced,PhD,120000,Rural,Toyota,7,2.0,10000,1,2,2,27,Low
ULWEU,54,F,Doctor,Single,Master,115000,Rural,Audi,14,3.5,18000,2,4,1,2,Low
JKRJH,36,M,Manager,Divorced,Master,40000,Urban,Audi,8,3.5,18000,1,4,0,4,Low
KPZDX,63,M,Engineer,Single,Master,85000,Urban,Audi,4,2.5,19000,1,3,2,11,Low
HKMVK,48,M,Student,Single,Master,145000,Urban,Mercedes,2,2.5,19000,3,4,2,39,Low
EELQI,61,F,Engineer,Widowed,PhD,90000,Rural,Chevrolet,1,3.5,10000,1,2,0,11,Medium
DEEXX,53,F,Retired,Single,PhD,130000,Rural,Tesla,4,2.5,11000,1,4,2,3,Medium
KZWCO,53,M,Retired,Widowed,None,100000,Suburban,Ford,6,2.0,8000,0,4,2,15,High
CRSFO,55,F,Doctor,Divorced,Bachelor,40000,Rural,BMW,3,1.5,5000,3,0,0,10,Low
NEKPG,52,M,Retired,Widowed,PhD,60000,Urban,Nissan,8,1.5,15000,2,3,1,35,Low
UYGYX,37,F,Manager,Married,Bachelor,35000,Urban,Toyota,11,2.0,19000,3,2,1,10,Low
DJUOH,57,F,Teacher,Divorced,PhD,35000,Rural,Toyota,13,4.0,11000,3,3,3,21,Medium
ZAMXV,33,F,Retired,Divorced,PhD,95000,Urban,BMW,14,3.5,18000,2,1,0,18,Low
OYUWO,35,M,Architect,Married,Master,65000,Urban,Chevrolet,6,4.0,15000,1,0,1,16,Medium
LYOEX,22,M,Student,Single,Master,75000,Suburban,BMW,5,2.5,5000,2,3,2,25,Low
CLPXF,52,M,Manager,Married,Bachelor,20000,Suburban,Audi,7,3.0,6000,3,0,1,27,Low
BMNCF,46,F,Lawyer,Divorced,Bachelor,75000,Urban,Chevrolet,12,1.5,9000,0,2,1,38,High
ZBYMF,39,M,Doctor,Married,Bachelor,60000,Urban,Audi,10,3.5,11000,3,4,0,15,Low
GACSI,55,M,Lawyer,Widowed,PhD,145000,Urban,Ford,3,1.5,17000,1,1,1,32,Low
AKHJP,62,F,Retired,Single,Bachelor,75000,Urban,Toyota,2,3.0,6000,0,3,0,32,Low
NRJHL,21,M,Engineer,Divorced,Bachelor,85000,Urban,BMW,8,3.5,17000,3,1,1,8,High
FRYAP,57,F,Artist,Widowed,PhD,45000,Rural,Audi,6,4.0,12000,3,1,2,8,Low
RRHCH,45,F,Teacher,Married,Master,25000,Urban,BMW,10,4.0,12000,3,0,0,8,Medium
WUWJS,61,F,Retired,Single,Bachelor,105000,Rural,Nissan,11,2.5,11000,1,3,1,35,High
IVUUD,45,M,Engineer,Widowed,Bachelor,40000,Suburban,Nissan,8,4.0,17000,1,1,0,14,Low
ORGXX,28,M,Teacher,Single,Bachelor,105000,Suburban,Tesla,4,4.0,9000,1,1,2,36,Low
EQCNW,33,F,Retired,Widowed,Bachelor,125000,Urban,Tesla,2,4.0,5000,1,2,3,30,Low
KELXJ,58,M,Engineer,Widowed,Bachelor,20000,Rural,Ford,5,3.5,19000,3,0,2,15,Medium
OXSYH,58,F,Architect,Divorced,Master,55000,Rural,Tesla,6,3.0,17000,0,4,3,24,Low
UWNSI,28,M,Manager,Widowed,Master,45000,Suburban,Toyota,9,2.0,8000,1,4,3,34,Medium
LEHIZ,49,F,Student,Widowed,Bachelor,60000,Suburban,Toyota,4,4.0,19000,2,3,3,19,Low
TWTIL,37,F,Engineer,Single,PhD,85000,Rural,Tesla,4,2.0,15000,3,1,1,35,Low
UMETX,39,F,Teacher,Divorced,PhD,140000,Urban,Honda,8,3.5,13000,2,2,0,17,Medium
WUPWH,47,M,Teacher,Single,Master,135000,Suburban,Tesla,13,1.5,18000,2,2,2,29,Low
UWTJA,43,F,Student,Widowed,Master,120000,Rural,Toyota,6,3.0,14000,1,2,1,32,Low
KKAVJ,46,M,Manager,Single,PhD,50000,Urban,Tesla,14,2.5,13000,0,4,2,39,Medium
GDEMP,58,M,Student,Divorced,PhD,20000,Suburban,Nissan,1,3.0,7000,0,4,1,29,Low
FBTBG,33,F,Artist,Married,Master,45000,Rural,Toyota,1,3.0,13000,0,2,0,16,Low
THZAO,24,F,Engineer,Divorced,Master,20000,Rural,Tesla,5,3.0,13000,3,0,2,22,Medium
ZQFQQ,54,M,Teacher,Single,Master,130000,Urban,Audi,2,2.0,18000,2,0,1,27,Medium
ERZQA,26,F,Lawyer,Married,Master,50000,Suburban,Audi,2,4.0,5000,0,3,0,3,Low
KJQBI,58,M,Manager,Widowed,None,40000,Rural,Audi,9,2.0,10000,2,4,2,29,Medium
