name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk_level,insurance_amount
QTQQP,62,M,Doctor,Single,PhD,65000,Suburban,BMW,9,4,8000,2,2,3,4,Medium,1150
ZOIWI,61,F,Architect,Divorced,PhD,65000,Urban,Mercedes,7,3.5,5000,1,3,1,36,Medium,1150
NTYXB,46,F,Doctor,Widowed,Master,55000,Suburban,Mercedes,14,2.5,9000,0,1,0,39,Medium,700
WUOVI,33,F,Engineer,Widowed,Master,85000,Urban,Honda,1,3,18000,2,1,1,22,High,1150
GKTGJ,25,F,Manager,Single,Bachelor,100000,Rural,Chevrolet,14,3.5,14000,2,2,1,16,Medium,1150
FFHRZ,61,M,Artist,Married,Bachelor,65000,Rural,Audi,6,2.5,10000,1,3,2,18,Medium,1150
VEDTT,60,M,Architect,Widowed,Master,50000,Rural,Audi,11,4,17000,0,1,0,25,High,700
DJUVH,27,M,Architect,Single,PhD,55000,Suburban,BMW,2,1.5,16000,0,0,3,15,Low,650
GPNVH,36,M,Teacher,Widowed,PhD,35000,Urban,Nissan,9,3,11000,2,4,0,5,High,1000
HKCQR,37,M,Architect,Married,,40000,Urban,Tesla,4,3,15000,1,2,1,11,High,1150
WRBDM,21,M,Doctor,Divorced,PhD,130000,Urban,Chevrolet,6,3.5,7000,0,4,3,19,Low,1050
XFXYK,60,M,Teacher,Widowed,,55000,Urban,BMW,2,2,5000,1,0,3,29,Low,950
FSUXZ,36,F,Architect,Divorced,Bachelor,120000,Urban,Mercedes,1,3.5,16000,2,1,2,31,Medium,1150
KETYF,51,M,Artist,Married,,105000,Rural,Toyota,2,2,17000,1,3,2,29,Medium,1150
BOQTK,21,F,Teacher,Divorced,Bachelor,35000,Rural,Ford,5,2,11000,1,2,0,17,Low,1200
CLBSB,23,F,Engineer,Single,PhD,100000,Suburban,Toyota,1,3,7000,0,1,1,36,Low,1050
TWQQJ,22,M,Doctor,Widowed,Bachelor,20000,Urban,Audi,10,3,16000,0,3,2,5,High,1150
MUKIU,46,M,Doctor,Married,Master,55000,Suburban,Nissan,1,4,17000,3,4,3,14,Medium,1150
MMLEJ,63,M,Artist,Married,Master,65000,Rural,Toyota,10,3,11000,0,1,1,23,Medium,850
UNAPF,27,F,Artist,Married,,105000,Urban,Nissan,5,3,18000,1,3,0,34,Low,1000
OFRVU,59,F,Student,Single,PhD,130000,Rural,Ford,14,2.5,17000,2,4,3,30,Medium,1150
QTMJA,60,F,Engineer,Single,PhD,70000,Suburban,Audi,9,3,16000,0,3,1,14,Medium,850
PUEML,43,F,Doctor,Widowed,,105000,Rural,Mercedes,7,1.5,19000,0,4,0,16,Low,700
UIDBE,28,M,Doctor,Divorced,PhD,125000,Rural,Nissan,11,3,11000,0,1,3,15,Low,850
CDVEM,30,M,Student,Married,Bachelor,60000,Suburban,Chevrolet,12,1.5,11000,0,4,0,19,Medium,700
ENVUF,20,M,Architect,Married,,25000,Suburban,Nissan,11,2.5,17000,1,3,2,20,Medium,1450
BPFGS,64,M,Teacher,Widowed,,45000,Rural,Honda,4,1.5,7000,0,3,2,31,Medium,850
NTPHC,56,M,Retired,Widowed,Bachelor,75000,Suburban,Toyota,8,4,19000,3,1,1,26,Medium,1150
RSAFY,69,M,Doctor,Widowed,Master,80000,Rural,BMW,2,4,10000,2,0,0,29,Medium,800
MECPK,50,M,Student,Single,Bachelor,120000,Rural,Nissan,14,1.5,8000,3,3,0,18,Medium,1000
RCZZM,47,F,Doctor,Married,Master,120000,Suburban,Ford,3,2.5,15000,0,0,3,13,Low,650
EUDAE,18,F,Teacher,Divorced,,115000,Rural,BMW,13,2.5,12000,0,1,1,28,Low,1050
ICIQB,31,F,Doctor,Widowed,Bachelor,105000,Rural,Toyota,8,4,18000,1,4,1,20,Medium,1150
RYOTB,54,M,Engineer,Married,Master,135000,Suburban,BMW,3,4,18000,3,3,0,23,Medium,1000
VJUDW,37,F,Manager,Widowed,Bachelor,145000,Urban,Nissan,8,2,10000,3,3,2,12,High,1150
WZYFI,34,M,Lawyer,Married,,35000,Suburban,Tesla,11,3,9000,3,1,1,20,Medium,1150
YVCZD,30,M,Architect,Widowed,,40000,Rural,Audi,5,2,5000,2,1,3,32,Low,1150
KCIVO,65,M,Retired,Single,Master,105000,Suburban,Mercedes,7,3.5,15000,0,4,0,27,Medium,700
XLZRW,21,M,Student,Married,Bachelor,140000,Rural,BMW,3,3,7000,3,4,2,30,Medium,1350
DQHFY,60,F,Engineer,Divorced,,100000,Urban,Toyota,4,3.5,13000,1,3,3,19,Medium,1150
XIIXP,57,F,Retired,Divorced,Master,110000,Suburban,Honda,7,4,15000,3,0,3,37,Medium,950
VPGWJ,24,F,Architect,Widowed,,110000,Urban,Honda,14,1.5,13000,2,0,3,14,High,1150
APZDT,31,M,Lawyer,Divorced,,65000,Urban,Chevrolet,4,4,17000,3,0,2,13,High,950
MUQDJ,25,F,Student,Married,PhD,35000,Rural,Toyota,10,3,8000,0,3,0,26,Medium,700
EZJCG,52,M,Manager,Single,PhD,135000,Suburban,BMW,11,4,12000,1,2,3,31,Medium,1150
EOABD,20,M,Architect,Married,PhD,135000,Rural,Honda,9,3,6000,2,1,2,11,Medium,1350
JCXAR,19,M,Artist,Widowed,Bachelor,110000,Rural,Audi,6,2,19000,2,3,1,31,Medium,1350
EKSPX,69,M,Student,Divorced,Master,90000,Urban,Toyota,9,3.5,14000,3,0,3,6,Medium,950
QDAFG,31,M,Retired,Divorced,PhD,40000,Suburban,Ford,8,1.5,5000,1,3,1,25,Medium,1150
VIFGV,20,M,Teacher,Single,Bachelor,100000,Rural,BMW,9,2.5,10000,1,1,0,22,Low,1200
ZKUQX,57,M,Engineer,Divorced,,55000,Urban,Tesla,13,2,19000,2,4,0,22,High,1000
XTETU,37,M,Engineer,Married,PhD,80000,Rural,Honda,13,3.5,14000,2,4,3,19,Medium,1150
MDNOP,58,F,Artist,Divorced,,140000,Suburban,Tesla,11,2,8000,0,4,3,4,Medium,850
XTPZY,41,F,Student,Married,Master,75000,Urban,Chevrolet,12,1.5,5000,1,2,3,24,Low,1150
TUJGZ,24,M,Retired,Widowed,Bachelor,125000,Suburban,BMW,7,4,11000,3,2,1,30,Medium,1350
OIZSV,36,F,Artist,Divorced,,25000,Rural,Mercedes,1,4,7000,0,3,2,8,Medium,950
MNZNV,44,M,Doctor,Married,Master,65000,Suburban,Nissan,5,4,12000,2,0,0,24,Medium,800
LDNTI,28,F,Engineer,Single,PhD,85000,Rural,Mercedes,4,3,7000,0,0,3,13,Low,650
DZAIH,20,M,Engineer,Single,Master,100000,Rural,Tesla,10,4,16000,3,4,3,7,High,1350
DIRPH,28,F,Artist,Widowed,Master,95000,Suburban,Chevrolet,12,3.5,12000,1,4,3,39,Medium,1150
LCLVC,47,F,Engineer,Divorced,,105000,Urban,BMW,11,3.5,19000,2,4,2,36,High,1150
HSYTH,35,F,Student,Widowed,Master,120000,Suburban,Chevrolet,5,1.5,19000,3,2,3,24,Low,1150
KWIOZ,32,M,Artist,Single,PhD,65000,Suburban,Toyota,14,2.5,11000,2,3,2,15,Medium,1150
HFSAJ,40,F,Architect,Married,PhD,30000,Rural,Ford,5,2.5,5000,0,3,0,37,Medium,700
EYIYH,35,M,Retired,Widowed,,100000,Rural,Honda,11,2,9000,1,2,2,31,Medium,1150
AQXNS,42,M,Retired,Married,,35000,Suburban,Mercedes,1,2,11000,1,0,0,15,Medium,800
JCIAP,18,F,Manager,Married,PhD,95000,Urban,Mercedes,10,3.5,11000,2,2,0,27,Medium,1200
ZPHFV,22,M,Artist,Divorced,PhD,50000,Suburban,Ford,2,4,12000,2,1,1,19,Medium,1350
CJQCV,38,M,Lawyer,Widowed,Master,125000,Urban,Mercedes,6,2,17000,3,4,2,16,High,1150
AMXAA,60,M,Engineer,Married,Bachelor,35000,Rural,Nissan,12,3,19000,0,0,3,26,High,650
PZINZ,36,F,Lawyer,Widowed,,80000,Urban,BMW,2,2,17000,0,2,1,36,Low,850
ZRUAN,31,F,Retired,Single,,130000,Urban,Nissan,14,2,16000,3,0,2,38,Medium,950
SFTST,55,M,Teacher,Married,,30000,Urban,Toyota,13,1.5,10000,2,3,3,37,Medium,1150
HOZZZ,40,F,Manager,Married,Bachelor,25000,Suburban,Audi,9,1.5,11000,0,4,1,35,Medium,950
XLGKB,36,F,Teacher,Married,,20000,Rural,Audi,6,3,13000,0,2,3,21,Medium,950
DTWGB,51,M,Teacher,Single,PhD,45000,Suburban,Nissan,9,3.5,9000,3,0,1,25,Medium,950
PZFXS,58,F,Student,Widowed,Bachelor,60000,Rural,Chevrolet,8,4,14000,3,2,0,17,Medium,1000
UMXHW,55,M,Student,Divorced,Master,25000,Urban,Ford,3,3,15000,3,2,2,35,High,1250
AXMTC,20,F,Lawyer,Widowed,,120000,Urban,Audi,5,3.5,8000,2,2,3,18,High,1350
BCOBR,23,M,Engineer,Divorced,Master,110000,Urban,Ford,3,4,11000,1,2,0,36,Low,1200
BYUVN,41,M,Doctor,Single,PhD,80000,Rural,Honda,14,4,18000,2,0,0,19,High,800
NXWUF,26,M,Artist,Divorced,Bachelor,20000,Urban,BMW,3,4,13000,0,1,3,19,High,950
BJEZV,47,F,Architect,Widowed,,125000,Suburban,Nissan,7,1.5,18000,2,1,3,37,Low,1150
VOZKE,55,F,Engineer,Single,Bachelor,60000,Suburban,Nissan,9,1.5,12000,3,4,2,9,Medium,1150
VBJLE,50,M,Architect,Single,PhD,100000,Urban,Ford,2,4,14000,1,1,0,3,Medium,1000
LAGNG,34,M,Teacher,Widowed,Master,145000,Rural,Chevrolet,13,1.5,15000,3,1,1,26,Medium,1150
IGLXK,48,F,Teacher,Married,Master,135000,Rural,Nissan,13,4,10000,3,1,2,26,Medium,1150
PTMFZ,46,F,Lawyer,Married,Bachelor,80000,Suburban,BMW,4,1.5,15000,3,3,3,8,Medium,1150
DIZNF,37,M,Retired,Widowed,Master,130000,Rural,BMW,14,1.5,9000,0,0,2,3,Low,650
GLISH,55,M,Student,Divorced,Bachelor,80000,Suburban,Toyota,6,3.5,8000,3,1,3,39,Medium,1150
QYKTT,36,M,Doctor,Widowed,PhD,95000,Urban,BMW,12,1.5,19000,0,1,0,28,Low,700
NGRQZ,21,F,Retired,Married,PhD,70000,Suburban,Ford,4,3.5,12000,0,4,1,36,Medium,1050
WGMWR,22,M,Engineer,Widowed,PhD,130000,Suburban,Honda,8,4,6000,1,2,2,29,Medium,1350
ELSLN,26,F,Engineer,Widowed,Bachelor,40000,Urban,Nissan,12,2,9000,1,0,0,5,Medium,800
DLVWD,37,M,Teacher,Married,Master,130000,Rural,Chevrolet,2,2.5,9000,2,0,2,33,Low,950
QLBFX,41,F,Engineer,Divorced,Master,30000,Rural,Nissan,9,1.5,6000,2,2,0,31,Medium,1000
PGUQB,42,F,Teacher,Married,PhD,30000,Rural,Nissan,6,4,10000,3,2,0,28,Medium,1000
BZZVE,61,M,Retired,Widowed,Master,135000,Suburban,BMW,7,3,17000,3,2,3,20,Medium,1150
DYMGX,64,M,Teacher,Divorced,PhD,120000,Suburban,BMW,14,3,5000,1,2,3,13,Medium,1150
TNZPD,23,M,Architect,Divorced,Bachelor,60000,Suburban,Mercedes,14,3.5,5000,3,1,2,18,Medium,1350
AYMIW,39,F,Doctor,Married,,35000,Suburban,Chevrolet,12,4,16000,1,0,3,30,High,950
APMNX,22,M,Teacher,Single,Bachelor,120000,Rural,Mercedes,1,3.5,7000,0,4,3,28,Medium,1050
ARIGE,51,M,Retired,Widowed,Master,85000,Urban,Ford,3,3.5,15000,1,4,0,39,Low,1000
VIGVD,39,F,Engineer,Divorced,PhD,90000,Suburban,Chevrolet,9,4,13000,1,4,3,29,Medium,1150
IVXTX,41,F,Engineer,Single,,70000,Suburban,Honda,5,3.5,18000,2,3,3,32,Medium,1150
CEICR,67,F,Retired,Single,PhD,140000,Urban,Toyota,12,2.5,12000,3,4,1,26,High,1150
HSQKD,55,M,Architect,Single,PhD,75000,Rural,Mercedes,3,2.5,17000,2,4,1,37,Medium,1150
FKTMG,25,M,Architect,Married,PhD,70000,Urban,Ford,9,4,18000,2,4,2,38,High,1150
AKWMA,30,F,Lawyer,Married,Bachelor,55000,Rural,Nissan,12,3,13000,1,0,1,37,Medium,950
RPXJE,27,F,Teacher,Widowed,Master,35000,Suburban,Mercedes,7,3.5,5000,2,3,2,23,Medium,1150
NIGOF,31,F,Retired,Divorced,,110000,Rural,Mercedes,3,4,18000,0,2,1,37,Medium,850
CGXUH,39,F,Doctor,Widowed,,125000,Rural,Audi,10,2,14000,1,3,1,34,Medium,1150
XTOTW,25,M,Student,Divorced,PhD,130000,Urban,Toyota,12,3.5,13000,1,3,1,13,High,1150
GTNXO,68,F,Artist,Widowed,Bachelor,35000,Suburban,BMW,2,2,17000,1,1,0,30,Low,1000
EUCVU,62,M,Engineer,Divorced,Master,125000,Rural,Toyota,5,1.5,5000,3,0,0,6,Medium,800
NFJUY,41,F,Doctor,Widowed,Master,105000,Suburban,Ford,11,3.5,7000,3,1,1,39,Medium,1150
PDYGB,68,F,Artist,Married,,105000,Suburban,Nissan,5,3,9000,0,1,3,33,Low,850
ZGBCU,21,M,Retired,Single,Master,95000,Urban,Ford,10,2.5,15000,3,1,2,4,High,1350
UPXCN,18,F,Teacher,Divorced,Master,145000,Suburban,Toyota,1,2.5,18000,0,1,2,2,Low,1050
HJWOH,38,F,Engineer,Divorced,Master,45000,Urban,Ford,11,2.5,8000,3,0,0,11,Medium,800
FCFVM,21,F,Lawyer,Married,PhD,125000,Suburban,Honda,13,3.5,17000,3,3,0,22,Medium,1200
FBXHL,37,M,Teacher,Married,Bachelor,45000,Rural,Audi,13,2.5,19000,1,3,1,33,Medium,1150
XRFEL,35,F,Artist,Widowed,,105000,Urban,Toyota,6,2.5,17000,3,1,2,36,Medium,1150
MXRIE,37,M,Lawyer,Married,Bachelor,95000,Suburban,Chevrolet,5,3,7000,3,1,3,18,Medium,1150
ULOFT,50,M,Artist,Divorced,Master,145000,Rural,Ford,8,4,12000,2,4,1,29,Medium,1150
YDKME,66,M,Manager,Single,PhD,60000,Suburban,BMW,11,2.5,12000,0,3,2,31,Medium,850
VDMEA,45,M,Student,Widowed,Master,115000,Suburban,BMW,1,1.5,19000,2,0,3,15,Low,950
TCCNE,63,M,Doctor,Married,Master,85000,Urban,Toyota,3,2.5,6000,0,1,0,7,Medium,700
FBXTF,25,M,Doctor,Widowed,Bachelor,120000,Urban,Chevrolet,2,2.5,13000,1,0,2,6,Low,950
QSZCC,48,M,Manager,Divorced,Bachelor,80000,Urban,Honda,12,4,15000,1,2,3,32,High,1150
MWCQR,32,F,Teacher,Single,PhD,140000,Suburban,Honda,11,2.5,19000,0,2,0,29,Medium,700
ABDKT,62,F,Teacher,Divorced,,115000,Suburban,Audi,13,3,17000,2,0,3,25,Medium,950
YYPXK,23,M,Architect,Widowed,Master,80000,Rural,Ford,2,2.5,7000,3,4,2,3,Low,1350
DSTXI,63,M,Artist,Married,Master,110000,Urban,Audi,11,2,11000,3,4,1,32,High,1150
ITFHP,66,F,Retired,Divorced,Master,70000,Suburban,Tesla,9,3,14000,3,4,0,36,Medium,1000
KCESR,27,M,Lawyer,Divorced,Bachelor,135000,Rural,Audi,13,3.5,7000,3,2,1,38,Medium,1150
OOSQR,53,F,Manager,Divorced,Bachelor,100000,Rural,Toyota,10,3.5,15000,0,4,2,14,High,850
MQFUT,66,M,Engineer,Married,Bachelor,105000,Urban,Audi,8,3.5,5000,3,0,3,29,Medium,950
LCFFU,22,F,Lawyer,Single,Master,20000,Suburban,Toyota,9,2.5,14000,3,1,3,20,Medium,1450
KEROA,56,M,Teacher,Married,Master,140000,Suburban,Audi,3,1.5,19000,0,0,2,32,Low,650
YNMMH,57,M,Engineer,Single,Bachelor,45000,Rural,Ford,12,2.5,17000,2,1,0,22,High,1000
TJQCY,64,M,Lawyer,Widowed,Bachelor,95000,Rural,Tesla,10,3,6000,0,0,1,2,Medium,650
NPKWV,19,F,Architect,Single,Bachelor,105000,Rural,Mercedes,6,4,7000,0,4,2,29,Medium,1050
ATJXX,47,F,Teacher,Single,Bachelor,95000,Rural,Honda,9,2,16000,2,1,1,29,Medium,1150
KVWSB,68,F,Architect,Widowed,PhD,115000,Suburban,Honda,10,1.5,18000,0,4,3,15,High,850
LSAFD,51,M,Lawyer,Widowed,Bachelor,110000,Suburban,Chevrolet,3,3.5,9000,0,4,3,27,Medium,850
ANUBU,66,F,Engineer,Single,,90000,Urban,Nissan,3,3,7000,1,1,3,14,Medium,1150
EVZBN,31,M,Artist,Married,Bachelor,120000,Suburban,Chevrolet,9,2,5000,0,2,0,13,Low,700
PBDOU,65,F,Engineer,Widowed,Bachelor,105000,Suburban,Ford,11,2,17000,0,4,3,27,Medium,850
BCIUN,62,M,Lawyer,Divorced,PhD,95000,Suburban,Chevrolet,1,3,16000,3,1,2,28,Medium,1150
OXOGG,55,F,Engineer,Single,Master,55000,Suburban,Mercedes,14,2.5,10000,0,4,1,2,Medium,850
QXSSL,58,F,Retired,Divorced,PhD,120000,Urban,Tesla,7,2,10000,2,2,2,23,High,1150
VJLBA,52,F,Doctor,Widowed,,125000,Urban,Chevrolet,6,2.5,10000,3,2,3,19,High,1150
WLZOY,28,F,Student,Single,Master,85000,Suburban,Tesla,13,2,17000,2,1,1,5,High,1150
GMPOM,28,M,Engineer,Married,PhD,140000,Suburban,Chevrolet,2,4,12000,2,3,2,31,Medium,1150
IYKGZ,51,F,Manager,Married,PhD,65000,Suburban,Toyota,2,4,7000,3,1,0,22,Medium,1000
QSGCG,31,F,Manager,Divorced,PhD,35000,Urban,Nissan,13,2.5,14000,3,1,2,25,High,1150
JTOZZ,68,M,Architect,Married,Bachelor,60000,Rural,Nissan,6,3,6000,2,0,1,35,Medium,950
YJMZL,19,F,Manager,Widowed,Bachelor,40000,Suburban,Mercedes,6,2.5,5000,1,4,0,8,Medium,1200
FEAWA,39,F,Lawyer,Married,Master,100000,Suburban,Honda,10,3,9000,0,1,3,15,Medium,850
NKHPA,53,F,Manager,Widowed,Bachelor,35000,Urban,Ford,5,1.5,10000,0,1,1,6,High,850
IJORB,57,F,Manager,Single,PhD,80000,Urban,Nissan,3,3.5,13000,3,3,0,28,High,1000
YHTAQ,35,F,Artist,Widowed,Master,75000,Urban,Mercedes,2,2.5,5000,3,3,0,10,Low,1000
JYEPP,38,M,Lawyer,Widowed,Bachelor,105000,Rural,Honda,5,2.5,15000,0,3,3,30,Low,850
TWVTL,53,M,Lawyer,Divorced,Master,40000,Rural,Mercedes,9,2.5,13000,2,4,0,11,Medium,1000
MUOYF,39,F,Architect,Divorced,Bachelor,145000,Urban,Honda,7,2,8000,0,4,3,23,Low,850
KQZRG,42,M,Manager,Single,,135000,Urban,Toyota,9,3.5,12000,1,4,1,1,High,1150
AVFKO,40,M,Doctor,Single,Bachelor,40000,Suburban,Toyota,1,3,15000,1,2,2,8,Medium,1150
FPBQR,29,M,Doctor,Divorced,Master,40000,Suburban,Tesla,13,2.5,6000,1,3,0,5,Medium,1000
JCBML,26,F,Doctor,Divorced,,25000,Urban,Chevrolet,6,3,17000,0,4,3,29,High,950
