age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
37,M,Artist,Widowed,Bachelor,115000,Urban,BMW,13,3.5,18000,2,0,1,27,High
63,M,Retired,Widowed,None,120000,Suburban,Nissan,13,3.5,15000,2,0,2,6,High
25,M,Lawyer,Married,Bachelor,20000,Suburban,Tesla,9,3.5,18000,1,0,0,16,High
65,F,Engineer,Single,Master,145000,Urban,BMW,9,3.0,13000,0,3,1,30,High
28,F,Artist,Divorced,PhD,40000,Rural,BMW,11,3.0,19000,2,0,0,21,High
44,M,Retired,Single,Master,140000,Suburban,Toyota,13,2.0,17000,0,2,1,2,High
65,M,Teacher,Married,Bachelor,35000,Urban,Nissan,4,4.0,12000,2,2,3,18,High
30,F,Lawyer,Married,PhD,105000,Suburban,Audi,5,1.5,15000,2,0,3,23,High
43,M,Teacher,Married,Master,145000,Suburban,Audi,8,1.5,17000,3,3,3,10,High
38,M,Lawyer,Single,Bachelor,20000,Rural,Toyota,12,3.0,6000,2,2,2,36,High
41,M,Architect,Divorced,Bachelor,20000,Rural,Toyota,6,1.5,15000,0,4,2,28,High
61,M,Engineer,Single,PhD,70000,Rural,Honda,1,3.5,19000,1,0,3,6,High
50,M,Student,Single,PhD,140000,Suburban,Mercedes,4,1.5,18000,2,2,2,19,High
22,F,Retired,Divorced,Master,125000,Rural,Nissan,13,2.5,12000,0,3,2,38,High
25,F,Engineer,Single,Master,90000,Suburban,Ford,6,2.5,18000,0,2,1,13,High
45,F,Student,Married,None,60000,Suburban,Tesla,3,3.5,13000,3,3,2,19,High
37,F,Architect,Married,Bachelor,90000,Urban,Chevrolet,7,3.0,19000,0,0,1,35,High
28,M,Lawyer,Single,PhD,130000,Urban,Chevrolet,6,2.0,6000,3,3,2,1,High
47,M,Retired,Widowed,None,105000,Rural,Audi,12,3.0,13000,1,1,2,26,High
68,F,Artist,Married,Bachelor,105000,Rural,Nissan,1,3.0,11000,2,0,0,26,High
18,F,Artist,Divorced,Master,125000,Urban,Toyota,11,1.5,8000,3,0,0,25,Low
21,F,Student,Married,Bachelor,50000,Urban,Audi,3,2.5,16000,0,4,2,12,High
38,F,Manager,Widowed,None,35000,Urban,Mercedes,4,2.5,6000,1,2,3,18,High
54,M,Architect,Widowed,PhD,140000,Suburban,Ford,13,3.0,5000,1,1,2,31,High
38,M,Architect,Single,Master,40000,Urban,Mercedes,2,3.0,9000,3,3,3,2,High
62,M,Retired,Divorced,PhD,50000,Rural,Toyota,5,3.0,13000,1,3,2,30,High
21,F,Artist,Divorced,Master,35000,Urban,Honda,14,3.5,15000,1,3,0,10,High
24,M,Student,Married,PhD,100000,Urban,Audi,1,3.5,19000,1,3,2,22,High
56,M,Engineer,Single,PhD,65000,Rural,BMW,3,4.0,19000,2,4,2,15,High
51,F,Teacher,Divorced,PhD,40000,Urban,Ford,9,2.0,18000,1,4,1,2,High
35,M,Engineer,Married,None,55000,Rural,Honda,5,2.0,14000,3,2,3,22,High
60,M,Engineer,Widowed,PhD,135000,Suburban,Ford,6,3.0,17000,0,4,1,19,High
49,F,Lawyer,Divorced,Master,50000,Suburban,Honda,14,4.0,8000,0,3,2,6,High
47,M,Retired,Divorced,Bachelor,110000,Urban,Mercedes,6,1.5,9000,0,4,3,8,High
24,F,Retired,Single,None,60000,Urban,Toyota,11,2.5,18000,0,2,2,20,High
36,F,Lawyer,Single,None,40000,Urban,Honda,1,3.0,13000,1,1,3,5,High
31,F,Teacher,Widowed,None,115000,Rural,BMW,2,2.0,5000,1,1,1,26,Medium
29,F,Manager,Married,Bachelor,115000,Suburban,BMW,4,2.5,5000,0,1,2,13,High
20,F,Retired,Single,Bachelor,95000,Rural,Mercedes,7,4.0,16000,0,3,3,30,High
62,F,Architect,Married,PhD,110000,Suburban,Ford,8,3.0,14000,3,4,0,37,High
33,M,Lawyer,Widowed,None,90000,Rural,Nissan,2,3.5,7000,3,0,3,17,High
62,M,Manager,Widowed,None,60000,Suburban,Toyota,2,4.0,18000,1,0,0,35,High
21,F,Doctor,Divorced,Master,35000,Rural,Chevrolet,7,2.5,6000,3,1,0,38,Low
54,M,Engineer,Single,None,135000,Urban,Chevrolet,10,2.0,6000,1,4,1,38,High
27,F,Teacher,Married,None,110000,Urban,Honda,14,4.0,10000,3,1,3,25,High
49,F,Student,Widowed,PhD,105000,Suburban,Audi,1,3.5,8000,3,3,0,5,High
60,M,Doctor,Single,Bachelor,140000,Rural,Chevrolet,5,4.0,5000,3,0,1,17,High
41,M,Retired,Divorced,PhD,20000,Urban,Ford,14,3.5,13000,0,1,0,37,High
37,F,Student,Single,Master,90000,Rural,BMW,2,2.5,8000,3,3,2,24,High
48,M,Architect,Single,PhD,90000,Rural,Chevrolet,10,1.5,13000,0,3,3,27,High
50,M,Teacher,Widowed,None,70000,Urban,Mercedes,9,2.5,16000,1,2,1,26,Medium
34,M,Manager,Single,PhD,55000,Suburban,Toyota,7,3.5,7000,0,4,3,7,High
69,F,Student,Married,Bachelor,40000,Rural,Audi,13,2.0,10000,0,1,3,36,High
69,F,Retired,Widowed,None,70000,Urban,Mercedes,9,2.0,15000,0,3,0,6,High
18,M,Architect,Married,None,50000,Urban,Nissan,9,2.5,10000,3,4,2,14,High
32,F,Doctor,Divorced,Master,125000,Urban,Nissan,12,4.0,7000,0,1,0,33,High
24,M,Manager,Married,Bachelor,90000,Urban,Tesla,7,3.0,18000,0,4,0,15,High
57,F,Architect,Widowed,None,30000,Suburban,Tesla,12,3.0,7000,2,0,2,36,High
24,F,Artist,Single,Bachelor,90000,Urban,Honda,9,1.5,13000,2,3,3,24,High
33,M,Student,Married,Master,55000,Suburban,Nissan,1,2.5,15000,1,1,3,34,High
34,M,Engineer,Married,PhD,35000,Suburban,Honda,4,2.5,16000,2,3,3,31,High
18,F,Architect,Divorced,None,40000,Suburban,BMW,1,3.0,9000,3,2,0,4,Low
38,M,Manager,Widowed,Bachelor,60000,Rural,Honda,1,3.5,13000,0,3,2,27,High
40,F,Teacher,Widowed,Bachelor,135000,Urban,Ford,13,2.5,6000,0,4,3,21,High
56,M,Doctor,Widowed,Bachelor,105000,Urban,Ford,6,2.0,9000,0,3,0,27,High
30,F,Manager,Widowed,Master,20000,Suburban,BMW,1,2.5,17000,2,2,0,5,Medium
64,F,Teacher,Divorced,PhD,135000,Suburban,BMW,6,2.0,9000,3,1,3,24,High
50,M,Retired,Married,None,25000,Urban,Tesla,8,2.0,14000,1,2,3,7,High
39,M,Teacher,Divorced,Bachelor,85000,Suburban,Audi,8,2.0,18000,1,4,0,33,High
18,M,Manager,Single,Master,100000,Suburban,Toyota,2,1.5,16000,1,2,3,13,High
63,F,Student,Married,PhD,120000,Suburban,Audi,12,3.0,16000,1,3,0,6,High
58,M,Engineer,Widowed,None,100000,Urban,Ford,13,4.0,10000,0,3,0,15,High
53,M,Lawyer,Married,PhD,75000,Suburban,Chevrolet,13,3.5,10000,3,4,0,25,High
32,F,Artist,Married,PhD,100000,Suburban,Mercedes,2,3.0,9000,2,1,3,20,High
49,F,Student,Widowed,None,75000,Rural,Toyota,13,2.0,14000,1,0,1,6,High
33,M,Architect,Divorced,None,45000,Rural,Mercedes,14,1.5,19000,3,1,3,4,High
37,M,Engineer,Married,None,115000,Urban,Nissan,10,4.0,19000,0,3,1,24,High
46,M,Teacher,Single,PhD,55000,Urban,Tesla,8,3.5,19000,0,1,3,4,High
45,M,Teacher,Divorced,Master,100000,Urban,BMW,1,3.0,18000,2,4,3,26,High
65,M,Student,Single,Bachelor,135000,Rural,BMW,13,3.5,14000,2,0,0,2,High
30,M,Retired,Single,Bachelor,130000,Urban,Mercedes,14,2.0,8000,1,4,0,10,High
39,F,Artist,Single,Bachelor,135000,Rural,Audi,7,2.5,14000,2,3,1,10,High
33,M,Manager,Widowed,None,35000,Suburban,Mercedes,8,1.5,7000,0,1,0,32,Low
62,F,Student,Single,Bachelor,25000,Suburban,Chevrolet,3,2.5,19000,0,1,2,19,High
49,M,Engineer,Married,PhD,70000,Suburban,Toyota,10,2.5,15000,0,0,3,13,High
39,F,Retired,Divorced,Bachelor,140000,Suburban,Tesla,13,3.5,16000,0,0,3,13,High
47,M,Student,Single,Bachelor,70000,Rural,Mercedes,5,2.5,19000,1,0,3,35,High
22,F,Engineer,Widowed,Master,115000,Urban,Mercedes,14,4.0,11000,0,2,3,23,High
29,F,Manager,Single,Master,55000,Rural,Mercedes,10,4.0,11000,1,3,1,36,High
39,F,Teacher,Married,None,45000,Suburban,Audi,11,1.5,10000,0,2,3,24,High
46,F,Artist,Married,PhD,110000,Suburban,Chevrolet,7,3.0,5000,1,0,2,35,High
54,M,Student,Single,Master,20000,Suburban,Audi,10,3.5,10000,3,4,0,11,High
24,F,Engineer,Divorced,None,50000,Urban,Audi,4,3.0,16000,3,2,1,36,Medium
25,F,Lawyer,Widowed,Master,115000,Suburban,Honda,9,4.0,8000,1,0,3,30,High
52,M,Artist,Widowed,PhD,90000,Rural,Toyota,14,3.5,10000,3,2,2,8,High
59,F,Doctor,Married,PhD,120000,Urban,Audi,9,4.0,15000,2,4,3,14,High
50,M,Architect,Single,Bachelor,140000,Suburban,Nissan,5,3.0,18000,2,3,2,21,High
50,F,Doctor,Widowed,PhD,135000,Rural,Nissan,13,2.0,6000,1,2,0,29,High
55,F,Student,Married,Bachelor,70000,Urban,Ford,9,1.5,18000,1,1,1,21,High
51,F,Artist,Divorced,Bachelor,120000,Urban,Nissan,11,3.5,6000,2,0,3,5,High
53,M,Lawyer,Single,Master,125000,Suburban,Ford,7,1.5,11000,0,3,2,13,High
56,M,Architect,Single,None,135000,Urban,Mercedes,2,2.5,17000,0,4,0,28,High
46,F,Manager,Married,Bachelor,100000,Urban,Audi,7,3.5,6000,0,1,3,18,High
57,F,Doctor,Divorced,PhD,115000,Suburban,Audi,13,2.0,11000,0,1,2,5,High
27,M,Engineer,Married,None,45000,Rural,Audi,12,2.5,9000,1,4,2,22,High
35,F,Lawyer,Divorced,None,45000,Suburban,Tesla,4,4.0,16000,2,4,0,20,High
53,F,Lawyer,Married,None,70000,Rural,Ford,13,4.0,11000,1,1,1,23,High
54,M,Doctor,Widowed,None,25000,Urban,Audi,5,2.0,17000,3,4,0,25,High
45,F,Student,Widowed,PhD,130000,Urban,Tesla,1,4.0,14000,1,1,3,3,High
21,M,Student,Married,PhD,115000,Urban,Ford,14,3.0,7000,1,4,2,9,High
47,F,Retired,Married,Master,60000,Urban,Toyota,4,4.0,7000,3,4,1,16,High
37,M,Retired,Widowed,None,50000,Rural,Tesla,1,2.5,19000,3,0,1,33,High
21,F,Architect,Single,PhD,100000,Rural,Ford,13,1.5,16000,2,3,1,20,High
22,F,Lawyer,Married,None,60000,Suburban,Honda,10,2.0,10000,0,3,3,2,High
43,M,Architect,Single,None,105000,Rural,Tesla,6,3.5,15000,0,2,2,19,High
41,M,Teacher,Widowed,None,140000,Urban,Honda,4,2.5,14000,0,2,0,25,Low
29,M,Engineer,Single,PhD,30000,Rural,Toyota,3,4.0,6000,1,4,2,15,High
65,F,Retired,Widowed,Bachelor,120000,Urban,Audi,7,2.0,9000,0,3,1,38,High
44,F,Retired,Married,PhD,80000,Rural,Toyota,12,3.0,15000,2,0,1,7,High
55,F,Architect,Married,Bachelor,35000,Suburban,Ford,5,3.0,13000,1,2,1,28,Medium
58,M,Artist,Widowed,Master,35000,Urban,Tesla,6,2.5,10000,3,3,0,9,High
27,M,Engineer,Married,Bachelor,135000,Rural,Chevrolet,11,4.0,13000,2,4,1,18,High
62,F,Artist,Widowed,None,100000,Suburban,Ford,11,3.0,9000,2,2,3,13,High
66,F,Teacher,Widowed,Bachelor,50000,Rural,BMW,13,2.5,6000,3,2,1,26,High
64,F,Student,Widowed,PhD,115000,Suburban,Audi,2,2.0,17000,1,1,0,12,Low
46,F,Retired,Divorced,Bachelor,95000,Urban,Audi,5,1.5,16000,3,2,3,9,High
63,F,Manager,Married,None,35000,Rural,Toyota,1,1.5,6000,0,3,2,13,High
39,M,Manager,Widowed,Bachelor,90000,Urban,Chevrolet,1,4.0,18000,0,2,3,10,High
37,F,Architect,Divorced,PhD,65000,Rural,BMW,6,4.0,19000,0,4,2,19,High
58,M,Teacher,Widowed,Bachelor,145000,Urban,Audi,7,1.5,6000,2,2,1,36,High
64,M,Student,Married,Bachelor,30000,Rural,Toyota,13,1.5,13000,0,1,2,3,High
33,M,Retired,Single,Bachelor,20000,Rural,Honda,5,2.0,7000,1,1,2,2,High
53,M,Retired,Widowed,PhD,140000,Rural,Ford,13,3.5,10000,0,3,0,39,High
57,M,Engineer,Widowed,Bachelor,90000,Suburban,Tesla,7,1.5,13000,1,3,3,27,High
54,F,Lawyer,Divorced,PhD,55000,Suburban,Chevrolet,13,2.0,9000,3,2,3,20,High
67,F,Student,Divorced,Bachelor,70000,Urban,Audi,13,3.0,8000,0,4,0,17,High
51,F,Artist,Divorced,PhD,35000,Rural,Toyota,10,3.5,18000,1,3,2,30,High
53,M,Teacher,Divorced,PhD,35000,Rural,Nissan,14,3.5,9000,3,1,0,34,High
69,F,Artist,Single,PhD,130000,Rural,Ford,4,3.5,17000,1,3,2,14,High
38,F,Artist,Widowed,Bachelor,25000,Suburban,BMW,13,2.5,7000,1,2,3,12,High
61,M,Architect,Married,Bachelor,45000,Urban,Honda,4,3.5,5000,3,1,3,16,High
39,M,Lawyer,Married,Master,100000,Suburban,Chevrolet,12,3.5,16000,0,3,1,5,High
20,M,Lawyer,Married,Master,60000,Suburban,Toyota,12,1.5,19000,3,4,1,11,High
37,F,Doctor,Single,Bachelor,20000,Suburban,Honda,2,3.5,6000,2,2,3,37,High
62,F,Manager,Divorced,PhD,125000,Urban,Nissan,4,1.5,11000,0,2,2,24,High
66,M,Engineer,Single,Master,120000,Rural,BMW,12,2.5,6000,2,1,0,32,High
33,F,Architect,Married,Bachelor,35000,Rural,Mercedes,3,2.0,7000,3,4,1,19,High
19,M,Student,Widowed,None,50000,Suburban,BMW,5,3.5,19000,3,2,0,7,High
64,F,Doctor,Married,Bachelor,95000,Rural,Tesla,8,3.5,16000,0,4,3,16,High
31,M,Engineer,Single,None,130000,Urban,Toyota,12,3.0,9000,2,0,0,27,High
56,F,Retired,Divorced,Bachelor,90000,Urban,Chevrolet,10,3.5,15000,0,2,2,20,High
51,M,Artist,Single,Bachelor,80000,Urban,Nissan,1,3.5,10000,2,2,3,38,High
54,M,Student,Widowed,Bachelor,25000,Suburban,Toyota,8,2.5,8000,3,2,3,12,High
33,F,Architect,Single,None,95000,Urban,Tesla,1,4.0,7000,2,3,1,38,High
31,F,Student,Widowed,Bachelor,100000,Rural,Honda,13,2.5,13000,0,0,2,18,High
31,F,Artist,Widowed,Master,125000,Urban,BMW,9,2.5,17000,3,0,3,13,High
67,M,Student,Widowed,PhD,100000,Rural,Ford,5,2.5,12000,2,3,3,35,High
36,M,Artist,Single,PhD,115000,Rural,Chevrolet,13,4.0,15000,0,4,0,28,High
42,M,Student,Single,PhD,130000,Suburban,Mercedes,3,2.5,18000,2,3,2,1,High
38,F,Engineer,Widowed,Bachelor,130000,Rural,Mercedes,9,2.5,12000,3,4,2,1,High
34,F,Teacher,Single,Bachelor,95000,Suburban,Tesla,1,4.0,15000,0,1,2,13,High
18,M,Student,Single,Master,25000,Urban,Toyota,11,3.5,7000,3,0,1,11,Medium
57,F,Student,Widowed,PhD,110000,Urban,Mercedes,1,1.5,14000,3,2,2,30,High
22,F,Retired,Widowed,PhD,120000,Rural,Audi,9,4.0,5000,3,0,1,30,Medium
32,M,Architect,Married,Master,25000,Rural,Honda,2,3.5,14000,3,4,2,17,High
63,M,Retired,Divorced,Bachelor,140000,Suburban,Toyota,4,1.5,8000,1,0,1,1,Medium
54,M,Teacher,Single,Bachelor,75000,Urban,Ford,11,3.0,10000,0,0,0,23,Low
62,M,Teacher,Single,Bachelor,85000,Rural,Toyota,6,1.5,5000,3,1,1,37,High
29,M,Engineer,Divorced,None,25000,Suburban,Ford,10,2.0,12000,3,2,1,25,Medium
62,M,Student,Single,Master,20000,Rural,BMW,12,2.5,14000,3,3,3,25,High
48,F,Architect,Married,PhD,85000,Urban,Tesla,14,3.0,12000,1,3,0,14,High
45,M,Teacher,Single,PhD,50000,Rural,Ford,10,2.0,15000,3,4,1,37,High
19,F,Manager,Single,None,50000,Suburban,BMW,3,3.5,18000,1,3,3,34,High
26,F,Artist,Widowed,PhD,125000,Urban,Ford,4,4.0,16000,1,1,2,23,High
53,F,Retired,Divorced,PhD,50000,Urban,Audi,3,3.5,16000,2,2,2,2,High
23,M,Lawyer,Single,PhD,80000,Urban,Mercedes,9,3.5,8000,0,4,1,23,High
19,F,Manager,Widowed,Bachelor,105000,Urban,Mercedes,14,3.0,9000,3,3,3,29,High
57,F,Artist,Widowed,None,115000,Suburban,Mercedes,9,2.0,12000,1,2,0,4,Low
58,F,Retired,Divorced,Bachelor,65000,Urban,Ford,9,3.5,16000,1,2,2,6,High
66,M,Teacher,Married,Master,135000,Rural,Toyota,9,4.0,18000,1,2,2,13,High
47,M,Artist,Single,Master,130000,Urban,Toyota,9,1.5,13000,0,0,3,38,High
61,M,Engineer,Divorced,Bachelor,110000,Rural,Chevrolet,6,2.5,6000,1,0,0,4,Low
35,F,Engineer,Married,Bachelor,90000,Urban,Audi,4,4.0,12000,3,2,3,29,High
50,F,Manager,Widowed,None,100000,Urban,Ford,9,2.5,7000,3,0,2,36,High
69,M,Retired,Single,None,25000,Suburban,BMW,12,1.5,16000,1,3,0,6,High
66,M,Engineer,Married,Master,135000,Urban,Audi,1,3.0,19000,2,0,1,8,High
48,F,Artist,Divorced,PhD,130000,Urban,Toyota,2,2.0,8000,3,0,2,33,High
18,M,Doctor,Married,PhD,130000,Suburban,Mercedes,11,1.5,12000,1,2,3,2,High
54,M,Engineer,Married,None,100000,Rural,Honda,4,1.5,19000,1,2,0,21,High
20,M,Architect,Widowed,Bachelor,50000,Urban,Tesla,1,2.0,8000,1,4,0,7,High
34,F,Architect,Divorced,PhD,40000,Suburban,Mercedes,4,4.0,9000,0,1,0,35,Low
65,M,Teacher,Divorced,Master,80000,Suburban,Nissan,2,4.0,11000,0,1,2,15,High
60,M,Architect,Widowed,Master,120000,Urban,Nissan,13,2.0,12000,0,2,3,2,High
58,M,Retired,Widowed,Master,135000,Urban,BMW,7,2.0,19000,2,1,3,3,High
55,M,Artist,Single,Bachelor,25000,Suburban,Honda,1,4.0,19000,1,0,1,24,High
30,M,Manager,Single,Bachelor,145000,Suburban,Tesla,5,3.5,8000,0,2,0,3,Low
38,M,Architect,Married,Bachelor,105000,Urban,Nissan,3,1.5,9000,0,1,0,35,Low
60,M,Engineer,Widowed,Master,55000,Rural,BMW,4,2.5,16000,3,4,0,24,High
42,M,Manager,Widowed,Bachelor,55000,Rural,Audi,2,1.5,8000,3,3,2,18,High
50,F,Artist,Single,PhD,100000,Urban,Chevrolet,5,3.0,9000,3,4,1,29,High
45,F,Retired,Widowed,Bachelor,65000,Urban,Toyota,8,3.5,19000,2,0,0,26,High
29,M,Engineer,Single,PhD,110000,Rural,Tesla,14,4.0,7000,3,4,2,32,High
66,F,Doctor,Widowed,Bachelor,125000,Suburban,Nissan,13,2.0,15000,2,0,1,36,High
32,M,Artist,Widowed,None,50000,Suburban,Ford,4,3.0,6000,2,3,3,16,High
33,M,Architect,Widowed,Master,20000,Rural,Audi,10,1.5,11000,0,0,1,38,Medium
49,M,Engineer,Divorced,Master,20000,Rural,Mercedes,12,4.0,7000,2,1,1,19,High
53,F,Lawyer,Married,Bachelor,135000,Suburban,BMW,10,2.0,16000,3,0,1,37,Medium
48,M,Engineer,Divorced,PhD,30000,Urban,Ford,14,3.5,14000,2,4,1,22,High
57,M,Architect,Divorced,None,40000,Suburban,Mercedes,3,1.5,8000,1,1,1,36,Medium
47,F,Manager,Married,PhD,25000,Suburban,Ford,12,2.0,8000,1,2,3,10,High
40,M,Teacher,Widowed,Bachelor,135000,Urban,Ford,14,4.0,18000,0,1,3,24,High
32,F,Retired,Divorced,PhD,70000,Urban,Ford,13,3.5,9000,2,3,1,11,High
61,F,Manager,Divorced,Bachelor,145000,Urban,Chevrolet,5,2.0,5000,0,3,1,38,High
23,M,Student,Married,Bachelor,120000,Urban,Audi,3,3.0,5000,2,2,0,4,Low
48,F,Engineer,Divorced,PhD,40000,Urban,Nissan,8,4.0,5000,2,2,3,27,High
50,M,Lawyer,Divorced,Master,120000,Urban,BMW,6,1.5,10000,1,4,2,26,High
32,M,Manager,Single,None,120000,Suburban,Nissan,8,2.0,8000,0,3,3,1,High
69,M,Teacher,Single,PhD,145000,Urban,Mercedes,2,2.0,17000,2,2,0,38,High
56,F,Teacher,Widowed,Master,40000,Suburban,Toyota,13,3.5,17000,3,1,0,6,High
21,M,Lawyer,Single,None,140000,Urban,Ford,1,2.5,16000,0,3,3,31,High
36,M,Doctor,Married,Master,75000,Urban,Ford,7,3.5,8000,3,1,3,33,High
55,F,Artist,Divorced,Bachelor,140000,Rural,Toyota,12,1.5,16000,3,2,3,16,High
51,M,Student,Married,None,55000,Rural,Toyota,3,2.0,12000,2,0,2,36,High
52,M,Teacher,Single,None,95000,Urban,Honda,7,3.5,18000,1,0,3,21,High
