name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
NOJIV,44,M,Doctor,Single,Bachelor,125000,Urban,Nissan,11,4.0,11000,2,0,2,7,High
WGOPV,33,M,Lawyer,Married,Bachelor,100000,Suburban,Honda,6,1.5,12000,2,0,2,17,Low
QAUBK,28,M,Teacher,Single,None,135000,Suburban,Tesla,7,4.0,17000,3,4,1,8,High
IKRMA,46,M,Student,Single,PhD,105000,Rural,Tesla,11,4.0,13000,1,2,3,19,Low
TJITY,24,F,Manager,Divorced,Master,60000,Urban,Toyota,5,2.0,13000,1,2,2,20,Low
DFDJG,33,F,Retired,Widowed,None,95000,Suburban,Mercedes,8,3.5,11000,0,0,1,27,Medium
SYPUA,24,M,Lawyer,Widowed,Master,50000,Rural,BMW,5,1.5,13000,3,2,2,30,High
TDDSL,68,F,Lawyer,Married,PhD,120000,Suburban,Audi,5,3.0,10000,2,1,2,18,Medium
SLIHP,19,M,Teacher,Married,Master,110000,Suburban,Honda,9,2.0,7000,2,3,0,9,Medium
XOQBY,28,M,Doctor,Single,None,20000,Urban,Tesla,8,3.5,5000,0,4,3,4,High
YMVJE,24,F,Student,Divorced,Master,100000,Rural,BMW,3,2.0,12000,3,0,0,25,High
TECRT,28,M,Lawyer,Married,Master,145000,Rural,Tesla,8,2.0,5000,3,4,3,38,Low
MWCKR,35,M,Architect,Married,Master,110000,Rural,Chevrolet,5,2.0,15000,2,3,2,5,High
AUNWQ,32,F,Architect,Single,Master,145000,Suburban,BMW,6,2.0,13000,3,2,2,3,Medium
RZHQS,63,M,Engineer,Married,Master,80000,Rural,Chevrolet,4,2.0,5000,3,3,1,11,High
PCTVH,20,M,Architect,Single,PhD,60000,Rural,Audi,9,4.0,19000,0,3,2,17,High
GGHMA,43,F,Manager,Widowed,Master,100000,Rural,Chevrolet,1,2.5,18000,1,1,1,37,Low
VDURI,50,M,Engineer,Divorced,Master,125000,Rural,Ford,7,3.5,15000,1,4,0,35,Medium
DWUJU,58,F,Lawyer,Divorced,Master,75000,Suburban,Chevrolet,13,3.5,10000,1,1,2,15,High
XCSLZ,60,M,Student,Married,Bachelor,35000,Rural,Mercedes,5,1.5,15000,3,2,0,32,Low
ODRWG,57,F,Teacher,Widowed,Master,25000,Rural,Mercedes,2,3.0,17000,1,3,2,4,Medium
XQJCR,59,F,Engineer,Widowed,None,105000,Rural,Mercedes,6,4.0,7000,1,0,3,13,Medium
YTWHZ,57,F,Artist,Single,Bachelor,110000,Rural,Ford,2,4.0,5000,3,3,0,10,Medium
LOKNY,46,M,Retired,Single,Master,85000,Suburban,Tesla,10,1.5,17000,0,3,2,16,High
AIGRY,63,F,Artist,Single,Bachelor,55000,Urban,BMW,14,3.5,10000,1,3,3,4,Low
LCGWL,61,M,Architect,Divorced,None,75000,Suburban,Mercedes,12,2.0,11000,2,4,1,13,High
XMOWO,34,F,Engineer,Married,Bachelor,85000,Suburban,BMW,5,2.5,7000,3,4,0,17,Medium
IZYXK,55,M,Artist,Married,Master,25000,Rural,Honda,9,3.5,18000,0,3,1,1,Low
PSGRS,20,M,Architect,Single,Master,100000,Suburban,Honda,10,2.0,19000,2,1,2,6,High
SPIIO,25,M,Manager,Widowed,None,95000,Rural,Nissan,2,4.0,7000,1,4,1,11,High
SOCYB,39,M,Manager,Widowed,PhD,85000,Urban,Honda,3,3.0,11000,1,1,3,10,High
FYQSX,43,M,Engineer,Divorced,Bachelor,45000,Urban,Mercedes,6,2.5,16000,1,4,0,8,High
WCGHE,36,F,Student,Single,PhD,135000,Rural,Audi,13,4.0,19000,2,1,3,2,Low
NUEMZ,50,F,Architect,Widowed,Bachelor,50000,Urban,Mercedes,14,4.0,10000,2,3,2,38,High
MYQIV,21,M,Teacher,Single,None,90000,Urban,Mercedes,4,2.0,10000,0,0,2,19,Medium
ELLYY,49,F,Architect,Divorced,PhD,80000,Urban,Honda,14,1.5,12000,3,0,0,34,High
UZGUU,21,M,Teacher,Married,None,40000,Suburban,Tesla,14,3.5,17000,1,2,0,9,Medium
XBLGW,64,F,Student,Single,None,95000,Urban,Ford,11,2.5,18000,0,3,1,17,High
OQRIC,47,M,Artist,Widowed,None,40000,Urban,Tesla,7,2.0,10000,1,3,1,11,High
OMQBH,64,M,Student,Widowed,Master,80000,Urban,Chevrolet,14,2.0,16000,1,3,1,33,High
XVNJO,62,F,Manager,Married,Bachelor,120000,Urban,Tesla,6,3.0,6000,3,4,2,24,Medium
BWUWW,20,M,Architect,Single,None,140000,Rural,Tesla,6,3.0,13000,2,0,2,6,High
MEUUM,19,M,Retired,Divorced,PhD,100000,Rural,Honda,6,1.5,13000,0,2,0,23,Low
XSMKY,49,M,Teacher,Married,Master,65000,Urban,Toyota,13,4.0,17000,1,3,1,9,High
YGGHI,22,F,Doctor,Widowed,Master,110000,Rural,BMW,12,2.5,15000,3,2,3,21,High
TTEAY,58,M,Engineer,Widowed,PhD,75000,Rural,Audi,13,2.0,8000,1,1,0,3,High
CBUWM,65,F,Student,Divorced,Master,145000,Rural,Chevrolet,3,1.5,12000,3,3,3,30,High
QIGVV,19,F,Student,Single,Master,135000,Suburban,Ford,13,3.0,8000,3,2,3,19,High
YBLEM,60,F,Retired,Married,None,90000,Urban,Ford,5,3.5,18000,1,2,0,25,Medium
UHIJL,41,M,Teacher,Divorced,None,90000,Suburban,BMW,3,2.0,19000,0,0,3,33,Low
JTNRB,67,F,Engineer,Divorced,Bachelor,20000,Suburban,Audi,2,1.5,5000,3,4,3,34,High
UFNVK,38,M,Artist,Divorced,PhD,135000,Rural,Chevrolet,8,2.5,19000,2,0,3,9,Low
CRFMJ,30,F,Manager,Divorced,PhD,145000,Rural,Mercedes,11,1.5,19000,0,0,2,33,Low
LGLPO,64,F,Teacher,Single,Bachelor,130000,Suburban,Honda,6,3.0,18000,3,2,3,39,Medium
DDEMJ,22,M,Retired,Married,Master,125000,Rural,Audi,2,3.0,18000,0,4,1,8,Medium
PQWVB,57,M,Doctor,Married,None,110000,Suburban,Chevrolet,8,3.0,19000,1,2,3,3,Medium
CIOVQ,59,F,Engineer,Married,None,105000,Suburban,Mercedes,2,1.5,15000,1,3,2,28,Low
MTNSC,67,F,Student,Married,Bachelor,55000,Suburban,Toyota,5,2.5,14000,3,0,2,38,High
HSEQJ,56,F,Retired,Married,Bachelor,75000,Suburban,BMW,1,2.5,7000,2,3,3,23,Medium
GADPQ,59,M,Teacher,Married,PhD,90000,Suburban,Audi,3,3.5,19000,0,1,3,30,Medium
TTATQ,19,M,Lawyer,Divorced,None,135000,Urban,Honda,5,3.0,13000,1,0,2,12,Low
OKMZT,33,F,Architect,Divorced,Master,65000,Suburban,Mercedes,13,3.5,11000,3,1,3,9,Low
KPNLB,44,F,Manager,Divorced,None,95000,Rural,Mercedes,6,2.0,11000,0,3,1,12,High
QIMXS,66,M,Retired,Married,PhD,50000,Suburban,Nissan,6,3.5,16000,1,2,0,3,High
EWAGP,39,F,Student,Married,Master,25000,Urban,Nissan,8,3.5,12000,2,2,1,30,Medium
DNFCE,50,F,Doctor,Single,Bachelor,55000,Suburban,Nissan,10,2.0,11000,0,3,2,38,High
IOEON,45,M,Doctor,Widowed,None,105000,Suburban,Chevrolet,13,2.5,5000,2,2,0,3,High
QDTTI,54,F,Manager,Single,Bachelor,90000,Rural,Nissan,1,4.0,15000,1,3,0,9,Low
VNNJB,25,F,Student,Widowed,Bachelor,30000,Suburban,Mercedes,14,4.0,19000,2,1,3,29,High
IGWQT,40,F,Teacher,Married,Master,50000,Urban,Ford,14,3.0,15000,0,2,3,10,Low
CYHTO,21,F,Student,Widowed,Master,110000,Rural,Toyota,5,2.0,14000,2,4,3,5,Low
ZFJIA,63,M,Retired,Widowed,None,40000,Rural,Chevrolet,11,2.5,13000,3,1,1,31,Medium
MWFEG,40,M,Retired,Married,PhD,135000,Suburban,BMW,3,2.5,13000,0,3,2,31,Medium
EVGKN,23,M,Architect,Widowed,Bachelor,35000,Suburban,Toyota,2,4.0,16000,0,1,0,2,Medium
AWJGQ,39,M,Lawyer,Widowed,Bachelor,100000,Suburban,Mercedes,7,4.0,14000,1,3,1,22,Low
UFHEM,52,M,Lawyer,Married,PhD,80000,Suburban,Ford,6,1.5,15000,1,4,2,5,Medium
BZGYV,57,F,Manager,Single,None,115000,Rural,Mercedes,3,4.0,11000,1,1,2,3,Low
DMYVL,32,M,Architect,Single,Master,110000,Suburban,Chevrolet,3,1.5,9000,2,3,0,3,Medium
KFVAA,51,F,Retired,Married,Bachelor,75000,Suburban,Mercedes,1,3.5,14000,0,4,3,38,Medium
WFQVI,30,F,Retired,Married,Bachelor,105000,Rural,Chevrolet,8,3.5,11000,3,2,0,22,Medium
KATLE,62,M,Student,Divorced,PhD,55000,Rural,Audi,7,2.0,8000,3,1,0,25,Medium
HFNXU,27,M,Retired,Married,PhD,110000,Urban,Honda,13,2.5,17000,2,1,0,26,Medium
SKEPC,20,M,Lawyer,Single,PhD,140000,Rural,BMW,7,3.0,5000,2,4,3,22,High
OODZO,25,M,Lawyer,Married,None,110000,Urban,Nissan,14,4.0,5000,2,2,3,15,High
OZFRX,19,F,Lawyer,Divorced,Bachelor,140000,Suburban,Chevrolet,4,2.5,18000,2,4,2,10,Medium
DMBUF,37,M,Manager,Widowed,Master,140000,Urban,Tesla,6,3.0,16000,0,3,2,23,Low
CNXEI,18,F,Lawyer,Divorced,Bachelor,50000,Suburban,Chevrolet,10,2.0,6000,0,1,2,25,Medium
GDJUD,29,M,Engineer,Single,Master,95000,Suburban,Nissan,6,4.0,6000,3,4,0,2,Low
FICKY,42,F,Architect,Divorced,PhD,50000,Suburban,BMW,14,1.5,17000,1,4,1,18,Medium
WEXYX,60,F,Manager,Widowed,PhD,110000,Rural,Audi,7,2.5,10000,0,1,2,35,High
MLCWO,49,F,Artist,Married,PhD,60000,Suburban,Honda,10,3.0,14000,3,3,3,22,High
IGNNK,25,F,Engineer,Married,None,25000,Suburban,Toyota,13,4.0,18000,3,2,2,4,High
QFWOD,51,F,Doctor,Divorced,PhD,25000,Urban,Chevrolet,5,3.5,14000,2,4,3,3,Medium
UNYKY,62,F,Architect,Married,Bachelor,75000,Urban,Ford,5,3.0,16000,0,1,3,9,High
XUIPC,37,M,Architect,Single,PhD,40000,Rural,Audi,11,4.0,12000,3,1,3,22,Medium
SXWOT,58,M,Retired,Single,None,110000,Urban,BMW,11,2.5,18000,0,4,0,4,High
ERWFQ,62,M,Manager,Divorced,None,120000,Rural,Toyota,3,2.5,7000,0,1,3,36,Medium
ENCEO,33,F,Artist,Married,Bachelor,110000,Urban,Mercedes,4,1.5,12000,1,0,3,29,Medium
NPYTK,34,F,Architect,Widowed,None,85000,Rural,BMW,4,3.0,6000,2,1,3,22,Medium
MHQPK,40,F,Manager,Divorced,PhD,55000,Suburban,Nissan,11,3.0,15000,0,4,2,32,Medium
VKOMM,54,M,Doctor,Single,None,65000,Rural,Chevrolet,9,3.0,5000,3,1,3,1,Medium
NUANM,18,F,Engineer,Single,Bachelor,25000,Urban,Honda,7,2.5,15000,0,4,1,31,Medium
LIQLP,37,F,Teacher,Divorced,Bachelor,40000,Suburban,Toyota,7,4.0,16000,1,2,1,11,Low
UUXGP,36,F,Architect,Married,Master,65000,Rural,BMW,8,4.0,13000,1,0,1,27,High
PKAJW,23,M,Engineer,Married,None,60000,Rural,Honda,3,4.0,13000,0,1,3,27,Medium
LXJMM,33,F,Engineer,Married,PhD,120000,Rural,Toyota,6,4.0,19000,2,2,1,33,Medium
GZUKZ,33,M,Student,Divorced,Master,140000,Urban,Toyota,13,1.5,17000,1,1,1,23,Medium
RMJBD,48,M,Teacher,Single,PhD,115000,Urban,Audi,5,2.0,19000,0,0,0,9,Low
TMDSC,21,F,Student,Married,Bachelor,130000,Suburban,Nissan,11,2.5,17000,0,2,2,7,Low
RNHYG,40,M,Engineer,Married,None,20000,Urban,Chevrolet,8,1.5,13000,1,2,0,38,High
TVYNF,57,F,Doctor,Single,Master,60000,Urban,Chevrolet,14,1.5,12000,0,3,2,37,Medium
UVIYH,43,F,Lawyer,Married,Bachelor,140000,Rural,Nissan,14,3.5,16000,0,0,3,11,High
AMXYM,37,F,Artist,Divorced,Bachelor,20000,Suburban,Honda,1,4.0,6000,1,0,1,32,Medium
WAFQH,28,M,Lawyer,Divorced,Master,60000,Urban,Nissan,7,3.5,13000,0,1,3,6,High
OZRXZ,26,M,Artist,Widowed,PhD,75000,Urban,Nissan,5,3.5,6000,0,0,2,9,High
PZFOQ,38,F,Artist,Widowed,PhD,55000,Rural,Honda,9,3.5,14000,2,0,2,3,High
SKFKT,49,M,Retired,Divorced,Master,45000,Suburban,Honda,7,2.0,6000,1,2,3,11,Medium
PPUIF,27,M,Student,Divorced,Master,95000,Rural,Ford,2,2.0,16000,3,0,3,38,Medium
WJWSQ,55,M,Artist,Widowed,PhD,100000,Suburban,Tesla,7,3.5,13000,2,2,2,29,Medium
YYYIU,21,M,Doctor,Married,Master,25000,Urban,Chevrolet,9,2.5,17000,2,2,2,20,Medium
KFGDI,62,F,Architect,Single,None,140000,Urban,Chevrolet,4,4.0,19000,1,0,2,11,High
TTDNF,38,F,Manager,Divorced,None,40000,Suburban,BMW,6,3.0,11000,1,4,2,30,Medium
YQNWA,36,F,Lawyer,Married,None,85000,Rural,Honda,7,3.5,14000,0,3,3,38,High
VFIXD,64,M,Teacher,Widowed,PhD,130000,Rural,Audi,12,3.5,15000,0,3,0,30,Low
HYOSA,58,F,Retired,Divorced,Master,65000,Rural,Audi,7,2.5,10000,0,4,2,24,Low
MUIIE,29,F,Engineer,Widowed,PhD,60000,Urban,Chevrolet,9,2.5,7000,0,0,0,29,Low
OJGLD,39,F,Teacher,Widowed,PhD,60000,Urban,Tesla,3,3.0,19000,0,4,0,20,Low
VXKLG,45,F,Manager,Divorced,PhD,40000,Rural,Nissan,1,3.0,17000,0,3,0,22,High
XOTXF,38,F,Manager,Divorced,Bachelor,85000,Suburban,BMW,3,3.5,11000,1,4,0,21,High
WCAHB,55,F,Student,Widowed,Master,115000,Rural,BMW,13,4.0,7000,2,1,3,11,Medium
VCZAJ,20,F,Manager,Single,None,70000,Rural,Tesla,6,2.5,8000,2,1,1,8,Low
LCGKB,63,M,Engineer,Married,PhD,80000,Urban,Honda,12,2.5,8000,1,1,0,2,Medium
HMRJU,52,M,Architect,Divorced,Master,85000,Urban,Honda,13,2.5,15000,2,2,0,23,High
LXDDB,47,M,Artist,Married,PhD,40000,Urban,Ford,8,3.5,8000,0,1,0,25,Low
MYEEG,42,M,Architect,Widowed,Bachelor,145000,Urban,Audi,9,3.0,6000,2,4,1,32,High
PEARE,60,M,Lawyer,Single,Bachelor,110000,Urban,Chevrolet,10,3.5,13000,1,1,2,38,Medium
UJNXX,48,M,Manager,Widowed,Master,90000,Urban,Mercedes,14,4.0,18000,0,1,1,15,High
BKLDC,49,M,Student,Widowed,Bachelor,80000,Rural,Honda,4,2.0,14000,3,1,2,18,Medium
WVVSI,47,F,Artist,Divorced,PhD,145000,Rural,Mercedes,2,4.0,14000,3,4,3,33,Medium
GPNWC,64,F,Manager,Widowed,Bachelor,125000,Suburban,Mercedes,11,3.5,19000,1,0,0,25,High
MCVHJ,67,M,Doctor,Divorced,None,20000,Urban,Audi,11,1.5,8000,1,3,0,30,High
ZRFWD,67,M,Artist,Married,Bachelor,110000,Urban,Audi,14,3.5,12000,2,4,2,4,Low
VVFQW,27,M,Engineer,Married,Master,110000,Suburban,Mercedes,7,1.5,9000,0,2,3,2,Medium
ZBLKG,66,M,Retired,Divorced,Bachelor,95000,Rural,Audi,11,4.0,17000,2,4,1,38,Low
RYCPV,64,F,Manager,Single,Master,70000,Suburban,Mercedes,14,3.5,6000,2,4,1,12,Medium
WDBJC,55,F,Architect,Divorced,Bachelor,70000,Suburban,BMW,1,2.0,19000,0,1,0,28,Low
PZVMU,58,F,Retired,Married,Bachelor,45000,Urban,Nissan,14,4.0,13000,1,3,0,26,Medium
PCSTN,31,F,Retired,Widowed,None,135000,Rural,Mercedes,10,2.5,16000,2,3,2,4,Low
MMXWP,53,F,Teacher,Widowed,PhD,25000,Suburban,Audi,10,1.5,12000,0,4,1,22,High
IXVDR,47,M,Retired,Married,Master,20000,Suburban,Mercedes,7,2.5,18000,0,1,3,20,Medium
RGNEO,51,M,Lawyer,Married,Master,80000,Urban,Chevrolet,7,3.5,5000,2,2,1,3,Medium
DTFMR,66,M,Artist,Single,Bachelor,25000,Suburban,Nissan,4,3.0,18000,3,0,2,22,Low
DAWWE,43,M,Artist,Single,Bachelor,105000,Rural,Mercedes,2,3.0,14000,1,3,0,33,Low
BJHCN,19,M,Doctor,Divorced,Bachelor,80000,Urban,Nissan,6,2.5,7000,2,0,0,23,High
BASGU,48,F,Architect,Divorced,Bachelor,40000,Urban,Mercedes,1,3.5,12000,2,0,3,1,Low
WUONI,28,M,Engineer,Widowed,PhD,140000,Urban,Honda,12,1.5,13000,2,2,2,33,Medium
ONFDJ,49,F,Retired,Married,Bachelor,35000,Rural,Chevrolet,12,1.5,7000,0,1,3,8,High
TFZUU,19,F,Doctor,Married,PhD,70000,Suburban,Audi,12,3.0,11000,0,2,2,2,Medium
KDRGX,54,F,Artist,Single,Bachelor,115000,Rural,Tesla,1,3.5,18000,0,4,3,23,High
ZUELZ,44,M,Doctor,Widowed,PhD,100000,Suburban,Honda,14,3.0,16000,3,3,3,17,Low
BRJID,50,M,Architect,Single,Bachelor,20000,Rural,Mercedes,6,3.5,19000,1,2,1,3,Low
AMVZO,66,F,Architect,Widowed,Bachelor,60000,Suburban,Chevrolet,11,3.0,10000,0,3,1,32,Medium
KQPZF,35,M,Artist,Widowed,None,115000,Suburban,Mercedes,14,2.0,10000,2,1,1,25,Medium
HCMSX,28,F,Engineer,Divorced,Master,125000,Urban,Ford,13,1.5,12000,1,1,0,24,Low
OQXMU,43,F,Teacher,Single,PhD,20000,Urban,Honda,11,4.0,6000,1,3,1,20,High
OAAUR,63,F,Artist,Divorced,Bachelor,65000,Urban,Mercedes,3,3.0,9000,1,1,0,13,Medium
UDQKG,60,F,Engineer,Single,None,65000,Rural,Mercedes,3,2.5,18000,2,0,0,28,Low
SBMRC,34,F,Lawyer,Divorced,Master,90000,Rural,Audi,5,3.0,8000,2,2,1,12,Medium
WBBNW,36,F,Engineer,Single,None,55000,Rural,Honda,8,3.5,13000,2,2,3,21,Low
XVOOY,45,M,Doctor,Married,Bachelor,60000,Rural,Nissan,8,3.0,9000,1,3,1,27,Medium
VGHAF,34,M,Teacher,Widowed,PhD,100000,Rural,Chevrolet,1,1.5,6000,0,2,2,31,High
JJEHU,67,F,Retired,Widowed,None,130000,Suburban,Audi,13,2.5,12000,3,4,3,11,Medium
DTENM,65,M,Engineer,Widowed,PhD,105000,Suburban,BMW,11,3.5,12000,0,4,0,18,Medium
MQRRL,51,F,Lawyer,Single,PhD,65000,Urban,BMW,12,4.0,8000,2,0,0,6,Medium
CHCCL,26,M,Engineer,Widowed,Master,35000,Urban,Honda,6,4.0,18000,2,4,1,24,Low
XUMNB,19,F,Artist,Single,Master,100000,Rural,BMW,5,4.0,19000,2,1,3,2,Low
TVYMA,24,F,Doctor,Divorced,PhD,105000,Urban,Chevrolet,6,2.5,5000,2,3,3,5,Low
BHYAV,44,M,Retired,Married,Bachelor,25000,Suburban,Audi,7,2.5,6000,3,0,1,37,Low
ZMHBX,61,M,Student,Widowed,Bachelor,65000,Suburban,Ford,5,1.5,7000,1,2,0,17,High
ROYGC,68,F,Teacher,Single,None,55000,Urban,Toyota,12,2.5,7000,3,2,1,20,Medium
YJNDZ,47,M,Doctor,Divorced,PhD,135000,Suburban,Chevrolet,1,3.0,7000,3,0,3,25,High
QPZKF,51,M,Artist,Single,None,120000,Rural,Audi,14,1.5,11000,0,4,0,11,Medium
OIUFK,35,M,Architect,Divorced,None,100000,Suburban,Chevrolet,1,2.0,18000,3,1,3,11,Medium
YSKIA,39,F,Lawyer,Single,None,45000,Urban,Toyota,5,3.5,15000,2,4,0,6,Low
XQZMW,20,F,Manager,Divorced,PhD,50000,Urban,Mercedes,12,3.0,6000,0,1,0,19,High
GCBLK,27,F,Doctor,Divorced,Master,65000,Rural,Chevrolet,9,3.5,19000,0,0,3,3,High
MUZWY,24,F,Doctor,Widowed,Bachelor,65000,Rural,Tesla,2,1.5,7000,2,0,0,28,Medium
GDIPP,18,F,Engineer,Single,Master,80000,Urban,Toyota,1,2.5,17000,1,4,3,35,High
XIZHQ,65,F,Engineer,Married,Bachelor,105000,Urban,Chevrolet,8,1.5,18000,3,2,3,32,High
RUEFS,30,F,Retired,Married,Bachelor,90000,Rural,Tesla,6,3.0,19000,2,2,0,20,Low
CHDAQ,63,M,Retired,Divorced,PhD,60000,Urban,Nissan,8,2.0,15000,3,2,2,31,Medium
MFRYI,61,M,Student,Widowed,None,55000,Suburban,Audi,4,3.5,19000,1,1,0,11,Low
FIOFJ,58,M,Lawyer,Married,None,120000,Urban,Nissan,5,3.0,11000,1,1,1,15,High
FOIZR,68,F,Manager,Divorced,Master,55000,Suburban,Chevrolet,9,2.5,7000,0,0,3,24,Medium
GNQBB,38,M,Retired,Widowed,None,65000,Rural,Ford,2,3.0,10000,1,4,3,18,Medium
WIULE,64,M,Manager,Married,Bachelor,105000,Urban,Toyota,1,2.5,15000,3,1,2,32,High
NOIOU,53,F,Doctor,Married,PhD,35000,Urban,Tesla,11,1.5,9000,0,2,3,29,Low
URBEI,61,F,Manager,Married,Bachelor,60000,Suburban,Honda,14,2.5,19000,1,4,0,14,High
NIHGC,36,M,Manager,Single,Master,35000,Rural,Honda,8,3.5,9000,2,2,0,6,Medium
JULCL,69,F,Retired,Married,PhD,60000,Suburban,Audi,4,4.0,10000,1,4,0,2,Medium
QSBUY,35,F,Engineer,Married,PhD,140000,Rural,Tesla,6,2.0,6000,0,4,3,38,Medium
SGCPD,59,F,Artist,Widowed,None,90000,Urban,Chevrolet,2,1.5,12000,1,1,1,37,Medium
LYWZM,41,F,Doctor,Divorced,Master,35000,Rural,Chevrolet,6,2.0,7000,3,0,2,3,Low
PXLVW,57,F,Doctor,Single,None,25000,Rural,Ford,9,1.5,8000,1,2,1,33,Low
LUOCH,55,M,Artist,Widowed,Master,35000,Urban,Ford,12,2.0,18000,0,0,3,30,High
SJQKQ,41,M,Retired,Married,Bachelor,115000,Suburban,Nissan,7,1.5,16000,1,2,0,12,Low
FPHCM,22,M,Lawyer,Widowed,None,45000,Suburban,Nissan,11,2.0,15000,3,1,0,6,High
GUSJL,20,F,Student,Divorced,PhD,115000,Rural,Chevrolet,6,3.5,12000,0,0,0,7,Medium
FOPKZ,18,F,Manager,Widowed,None,20000,Rural,Nissan,3,4.0,9000,0,2,2,18,High
