name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration
QDAFG,31,M,Retired,Divorced,PhD,40000,Suburban,Ford,8,1.5,5000,1,3,1,25
VIFGV,20,M,Teacher,Single,Bachelor,100000,Rural,BMW,9,2.5,10000,1,1,0,22
ZKUQX,57,M,Engineer,Divorced,None,55000,Urban,Tesla,13,2,19000,2,4,0,22
XTETU,37,M,Engineer,Married,PhD,80000,Rural,Honda,13,3.5,14000,2,4,3,19
MDNOP,58,F,Artist,Divorced,None,140000,Suburban,Tesla,11,2,8000,0,4,3,4
XTPZY,41,F,Student,Married,Master,75000,Urban,Chevrolet,12,1.5,5000,1,2,3,24
TUJGZ,24,M,Retired,Widowed,Bachelor,125000,Suburban,BMW,7,4,11000,3,2,1,30
OIZSV,36,F,Artist,Divorced,None,25000,Rural,Mercedes,1,4,7000,0,3,2,8
MNZNV,44,M,Doctor,Married,Master,65000,Suburban,Nissan,5,4,12000,2,0,0,24
LDNTI,28,F,Engineer,Single,PhD,85000,Rural,Mercedes,4,3,7000,0,0,3,13
DZAIH,20,M,Engineer,Single,Master,100000,Rural,Tesla,10,4,16000,3,4,3,7
DIRPH,28,F,Artist,Widowed,Master,95000,Suburban,Chevrolet,12,3.5,12000,1,4,3,39
LCLVC,47,F,Engineer,Divorced,None,105000,Urban,BMW,11,3.5,19000,2,4,2,36
HSYTH,35,F,Student,Widowed,Master,120000,Suburban,Chevrolet,5,1.5,19000,3,2,3,24
KWIOZ,32,M,Artist,Single,PhD,65000,Suburban,Toyota,14,2.5,11000,2,3,2,15
HFSAJ,40,F,Architect,Married,PhD,30000,Rural,Ford,5,2.5,5000,0,3,0,37
EYIYH,35,M,Retired,Widowed,None,100000,Rural,Honda,11,2,9000,1,2,2,31
AQXNS,42,M,Retired,Married,None,35000,Suburban,Mercedes,1,2,11000,1,0,0,15
JCIAP,18,F,Manager,Married,PhD,95000,Urban,Mercedes,10,3.5,11000,2,2,0,27
ZPHFV,22,M,Artist,Divorced,PhD,50000,Suburban,Ford,2,4,12000,2,1,1,19
CJQCV,38,M,Lawyer,Widowed,Master,125000,Urban,Mercedes,6,2,17000,3,4,2,16
AMXAA,60,M,Engineer,Married,Bachelor,35000,Rural,Nissan,12,3,19000,0,0,3,26
PZINZ,36,F,Lawyer,Widowed,None,80000,Urban,BMW,2,2,17000,0,2,1,36
ZRUAN,31,F,Retired,Single,None,130000,Urban,Nissan,14,2,16000,3,0,2,38
SFTST,55,M,Teacher,Married,None,30000,Urban,Toyota,13,1.5,10000,2,3,3,37
HOZZZ,40,F,Manager,Married,Bachelor,25000,Suburban,Audi,9,1.5,11000,0,4,1,35
XLGKB,36,F,Teacher,Married,None,20000,Rural,Audi,6,3,13000,0,2,3,21
DTWGB,51,M,Teacher,Single,PhD,45000,Suburban,Nissan,9,3.5,9000,3,0,1,25
PZFXS,58,F,Student,Widowed,Bachelor,60000,Rural,Chevrolet,8,4,14000,3,2,0,17
UMXHW,55,M,Student,Divorced,Master,25000,Urban,Ford,3,3,15000,3,2,2,35
AXMTC,20,F,Lawyer,Widowed,None,120000,Urban,Audi,5,3.5,8000,2,2,3,18
BCOBR,23,M,Engineer,Divorced,Master,110000,Urban,Ford,3,4,11000,1,2,0,36
BYUVN,41,M,Doctor,Single,PhD,80000,Rural,Honda,14,4,18000,2,0,0,19
NXWUF,26,M,Artist,Divorced,Bachelor,20000,Urban,BMW,3,4,13000,0,1,3,19
BJEZV,47,F,Architect,Widowed,None,125000,Suburban,Nissan,7,1.5,18000,2,1,3,37
VOZKE,55,F,Engineer,Single,Bachelor,60000,Suburban,Nissan,9,1.5,12000,3,4,2,9
VBJLE,50,M,Architect,Single,PhD,100000,Urban,Ford,2,4,14000,1,1,0,3
LAGNG,34,M,Teacher,Widowed,Master,145000,Rural,Chevrolet,13,1.5,15000,3,1,1,26
IGLXK,48,F,Teacher,Married,Master,135000,Rural,Nissan,13,4,10000,3,1,2,26
PTMFZ,46,F,Lawyer,Married,Bachelor,80000,Suburban,BMW,4,1.5,15000,3,3,3,8
DIZNF,37,M,Retired,Widowed,Master,130000,Rural,BMW,14,1.5,9000,0,0,2,3
GLISH,55,M,Student,Divorced,Bachelor,80000,Suburban,Toyota,6,3.5,8000,3,1,3,39
QYKTT,36,M,Doctor,Widowed,PhD,95000,Urban,BMW,12,1.5,19000,0,1,0,28
NGRQZ,21,F,Retired,Married,PhD,70000,Suburban,Ford,4,3.5,12000,0,4,1,36
WGMWR,22,M,Engineer,Widowed,PhD,130000,Suburban,Honda,8,4,6000,1,2,2,29
ELSLN,26,F,Engineer,Widowed,Bachelor,40000,Urban,Nissan,12,2,9000,1,0,0,5
DLVWD,37,M,Teacher,Married,Master,130000,Rural,Chevrolet,2,2.5,9000,2,0,2,33
QLBFX,41,F,Engineer,Divorced,Master,30000,Rural,Nissan,9,1.5,6000,2,2,0,31
PGUQB,42,F,Teacher,Married,PhD,30000,Rural,Nissan,6,4,10000,3,2,0,28
BZZVE,61,M,Retired,Widowed,Master,135000,Suburban,BMW,7,3,17000,3,2,3,20
DYMGX,64,M,Teacher,Divorced,PhD,120000,Suburban,BMW,14,3,5000,1,2,3,13
TNZPD,23,M,Architect,Divorced,Bachelor,60000,Suburban,Mercedes,14,3.5,5000,3,1,2,18
AYMIW,39,F,Doctor,Married,None,35000,Suburban,Chevrolet,12,4,16000,1,0,3,30
APMNX,22,M,Teacher,Single,Bachelor,120000,Rural,Mercedes,1,3.5,7000,0,4,3,28
ARIGE,51,M,Retired,Widowed,Master,85000,Urban,Ford,3,3.5,15000,1,4,0,39
VIGVD,39,F,Engineer,Divorced,PhD,90000,Suburban,Chevrolet,9,4,13000,1,4,3,29
IVXTX,41,F,Engineer,Single,None,70000,Suburban,Honda,5,3.5,18000,2,3,3,32
CEICR,67,F,Retired,Single,PhD,140000,Urban,Toyota,12,2.5,12000,3,4,1,26
HSQKD,55,M,Architect,Single,PhD,75000,Rural,Mercedes,3,2.5,17000,2,4,1,37
FKTMG,25,M,Architect,Married,PhD,70000,Urban,Ford,9,4,18000,2,4,2,38
AKWMA,30,F,Lawyer,Married,Bachelor,55000,Rural,Nissan,12,3,13000,1,0,1,37
RPXJE,27,F,Teacher,Widowed,Master,35000,Suburban,Mercedes,7,3.5,5000,2,3,2,23
NIGOF,31,F,Retired,Divorced,None,110000,Rural,Mercedes,3,4,18000,0,2,1,37
CGXUH,39,F,Doctor,Widowed,None,125000,Rural,Audi,10,2,14000,1,3,1,34
XTOTW,25,M,Student,Divorced,PhD,130000,Urban,Toyota,12,3.5,13000,1,3,1,13
GTNXO,68,F,Artist,Widowed,Bachelor,35000,Suburban,BMW,2,2,17000,1,1,0,30
EUCVU,62,M,Engineer,Divorced,Master,125000,Rural,Toyota,5,1.5,5000,3,0,0,6
NFJUY,41,F,Doctor,Widowed,Master,105000,Suburban,Ford,11,3.5,7000,3,1,1,39
PDYGB,68,F,Artist,Married,None,105000,Suburban,Nissan,5,3,9000,0,1,3,33
ZGBCU,21,M,Retired,Single,Master,95000,Urban,Ford,10,2.5,15000,3,1,2,4
UPXCN,18,F,Teacher,Divorced,Master,145000,Suburban,Toyota,1,2.5,18000,0,1,2,2
HJWOH,38,F,Engineer,Divorced,Master,45000,Urban,Ford,11,2.5,8000,3,0,0,11
FCFVM,21,F,Lawyer,Married,PhD,125000,Suburban,Honda,13,3.5,17000,3,3,0,22
FBXHL,37,M,Teacher,Married,Bachelor,45000,Rural,Audi,13,2.5,19000,1,3,1,33
XRFEL,35,F,Artist,Widowed,None,105000,Urban,Toyota,6,2.5,17000,3,1,2,36
MXRIE,37,M,Lawyer,Married,Bachelor,95000,Suburban,Chevrolet,5,3,7000,3,1,3,18
ULOFT,50,M,Artist,Divorced,Master,145000,Rural,Ford,8,4,12000,2,4,1,29
YDKME,66,M,Manager,Single,PhD,60000,Suburban,BMW,11,2.5,12000,0,3,2,31
VDMEA,45,M,Student,Widowed,Master,115000,Suburban,BMW,1,1.5,19000,2,0,3,15
TCCNE,63,M,Doctor,Married,Master,85000,Urban,Toyota,3,2.5,6000,0,1,0,7
FBXTF,25,M,Doctor,Widowed,Bachelor,120000,Urban,Chevrolet,2,2.5,13000,1,0,2,6
QSZCC,48,M,Manager,Divorced,Bachelor,80000,Urban,Honda,12,4,15000,1,2,3,32
MWCQR,32,F,Teacher,Single,PhD,140000,Suburban,Honda,11,2.5,19000,0,2,0,29
ABDKT,62,F,Teacher,Divorced,None,115000,Suburban,Audi,13,3,17000,2,0,3,25
YYPXK,23,M,Architect,Widowed,Master,80000,Rural,Ford,2,2.5,7000,3,4,2,3
DSTXI,63,M,Artist,Married,Master,110000,Urban,Audi,11,2,11000,3,4,1,32
ITFHP,66,F,Retired,Divorced,Master,70000,Suburban,Tesla,9,3,14000,3,4,0,36
KCESR,27,M,Lawyer,Divorced,Bachelor,135000,Rural,Audi,13,3.5,7000,3,2,1,38
OOSQR,53,F,Manager,Divorced,Bachelor,100000,Rural,Toyota,10,3.5,15000,0,4,2,14
MQFUT,66,M,Engineer,Married,Bachelor,105000,Urban,Audi,8,3.5,5000,3,0,3,29
LCFFU,22,F,Lawyer,Single,Master,20000,Suburban,Toyota,9,2.5,14000,3,1,3,20
KEROA,56,M,Teacher,Married,Master,140000,Suburban,Audi,3,1.5,19000,0,0,2,32
YNMMH,57,M,Engineer,Single,Bachelor,45000,Rural,Ford,12,2.5,17000,2,1,0,22
TJQCY,64,M,Lawyer,Widowed,Bachelor,95000,Rural,Tesla,10,3,6000,0,0,1,2
NPKWV,19,F,Architect,Single,Bachelor,105000,Rural,Mercedes,6,4,7000,0,4,2,29
ATJXX,47,F,Teacher,Single,Bachelor,95000,Rural,Honda,9,2,16000,2,1,1,29
KVWSB,68,F,Architect,Widowed,PhD,115000,Suburban,Honda,10,1.5,18000,0,4,3,15
LSAFD,51,M,Lawyer,Widowed,Bachelor,110000,Suburban,Chevrolet,3,3.5,9000,0,4,3,27
ANUBU,66,F,Engineer,Single,None,90000,Urban,Nissan,3,3,7000,1,1,3,14
EVZBN,31,M,Artist,Married,Bachelor,120000,Suburban,Chevrolet,9,2,5000,0,2,0,13
PBDOU,65,F,Engineer,Widowed,Bachelor,105000,Suburban,Ford,11,2,17000,0,4,3,27
BCIUN,62,M,Lawyer,Divorced,PhD,95000,Suburban,Chevrolet,1,3,16000,3,1,2,28
OXOGG,55,F,Engineer,Single,Master,55000,Suburban,Mercedes,14,2.5,10000,0,4,1,2
QXSSL,58,F,Retired,Divorced,PhD,120000,Urban,Tesla,7,2,10000,2,2,2,23
VJLBA,52,F,Doctor,Widowed,None,125000,Urban,Chevrolet,6,2.5,10000,3,2,3,19
WLZOY,28,F,Student,Single,Master,85000,Suburban,Tesla,13,2,17000,2,1,1,5
GMPOM,28,M,Engineer,Married,PhD,140000,Suburban,Chevrolet,2,4,12000,2,3,2,31
IYKGZ,51,F,Manager,Married,PhD,65000,Suburban,Toyota,2,4,7000,3,1,0,22
QSGCG,31,F,Manager,Divorced,PhD,35000,Urban,Nissan,13,2.5,14000,3,1,2,25
JTOZZ,68,M,Architect,Married,Bachelor,60000,Rural,Nissan,6,3,6000,2,0,1,35
YJMZL,19,F,Manager,Widowed,Bachelor,40000,Suburban,Mercedes,6,2.5,5000,1,4,0,8
FEAWA,39,F,Lawyer,Married,Master,100000,Suburban,Honda,10,3,9000,0,1,3,15
NKHPA,53,F,Manager,Widowed,Bachelor,35000,Urban,Ford,5,1.5,10000,0,1,1,6
IJORB,57,F,Manager,Single,PhD,80000,Urban,Nissan,3,3.5,13000,3,3,0,28
YHTAQ,35,F,Artist,Widowed,Master,75000,Urban,Mercedes,2,2.5,5000,3,3,0,10
JYEPP,38,M,Lawyer,Widowed,Bachelor,105000,Rural,Honda,5,2.5,15000,0,3,3,30
TWVTL,53,M,Lawyer,Divorced,Master,40000,Rural,Mercedes,9,2.5,13000,2,4,0,11
MUOYF,39,F,Architect,Divorced,Bachelor,145000,Urban,Honda,7,2,8000,0,4,3,23
KQZRG,42,M,Manager,Single,None,135000,Urban,Toyota,9,3.5,12000,1,4,1,1
AVFKO,40,M,Doctor,Single,Bachelor,40000,Suburban,Toyota,1,3,15000,1,2,2,8
FPBQR,29,M,Doctor,Divorced,Master,40000,Suburban,Tesla,13,2.5,6000,1,3,0,5
JCBML,26,F,Doctor,Divorced,None,25000,Urban,Chevrolet,6,3,17000,0,4,3,29
DMBRH,49,M,Manager,Single,PhD,75000,Rural,BMW,13,2.5,7000,2,1,2,8
JEQIW,48,M,Architect,Widowed,PhD,120000,Rural,Mercedes,7,4,6000,3,0,3,15
JRFTS,54,M,Architect,Single,PhD,45000,Suburban,Chevrolet,11,2,6000,3,4,1,1
NZOEA,24,M,Architect,Widowed,PhD,30000,Urban,Nissan,14,2.5,6000,0,4,3,5
NMXVR,42,M,Doctor,Married,Bachelor,145000,Urban,Ford,13,2.5,9000,3,0,1,28
ITTED,56,F,Teacher,Single,Master,130000,Urban,Chevrolet,11,1.5,16000,1,1,3,28
LGHNJ,33,M,Artist,Divorced,Master,60000,Rural,Toyota,10,2,15000,0,0,2,35
TDZIZ,38,F,Architect,Widowed,PhD,65000,Suburban,Tesla,12,3,5000,0,3,3,3
RSAMI,34,F,Teacher,Divorced,Master,100000,Rural,Mercedes,6,3,18000,2,2,0,34
FMIIF,66,F,Lawyer,Married,Bachelor,135000,Suburban,Honda,12,4,9000,3,0,3,27
XGOHP,42,M,Manager,Single,Bachelor,50000,Rural,Ford,7,3.5,8000,2,4,0,22
BYKYD,47,F,Doctor,Divorced,Master,65000,Rural,Audi,12,3,18000,2,3,1,3
SUOKU,43,F,Student,Married,Master,95000,Rural,Honda,6,3.5,16000,2,1,0,36
KXQGL,48,F,Artist,Single,None,75000,Rural,Tesla,8,2.5,12000,0,3,0,26
LCLWZ,46,M,Student,Widowed,Bachelor,60000,Urban,Honda,11,3,13000,3,3,1,22
IXPPZ,22,M,Manager,Single,None,95000,Urban,BMW,6,2.5,9000,1,4,3,30
TVRFN,42,F,Student,Widowed,PhD,45000,Suburban,BMW,8,1.5,12000,3,2,0,29
LPLVZ,33,M,Lawyer,Single,PhD,135000,Urban,Ford,13,3.5,13000,0,0,3,31
HXRHO,25,M,Doctor,Single,Bachelor,115000,Rural,Audi,14,2.5,14000,2,3,2,20
RTFOB,28,F,Doctor,Widowed,PhD,125000,Rural,Audi,8,2.5,18000,2,1,3,37
UKHNO,32,F,Architect,Single,None,55000,Rural,Tesla,14,1.5,6000,2,0,2,19
PMUFQ,26,M,Student,Widowed,Bachelor,25000,Urban,Chevrolet,7,3,17000,0,1,2,29
ZXUSQ,44,F,Manager,Married,None,30000,Suburban,Ford,7,2.5,12000,2,1,2,6
ANUML,61,F,Manager,Divorced,Bachelor,100000,Rural,BMW,11,1.5,17000,0,1,3,5
JWHMI,31,M,Teacher,Single,None,115000,Suburban,Chevrolet,1,3,18000,0,3,1,37
OSZMH,24,M,Doctor,Divorced,Bachelor,110000,Urban,Tesla,13,2.5,14000,0,4,1,7
FGWYR,31,F,Lawyer,Single,Master,65000,Suburban,BMW,12,3.5,11000,2,2,1,12
KXISX,66,F,Architect,Widowed,PhD,145000,Rural,Mercedes,3,1.5,15000,3,3,3,34
XOSLT,53,M,Engineer,Single,Bachelor,140000,Suburban,Audi,11,2,9000,2,0,3,15
